side,horizon,n,warning_count,warning_rate,ci_low,ci_high
left,1,426,386,0.9061032863849765,0.8779342723004695,0.931924882629108
right,1,426,361,0.8474178403755869,0.812206572769953,0.8802816901408451
left,2,426,365,0.8568075117370892,0.823943661971831,0.8896713615023474
right,2,426,339,0.795774647887324,0.755868544600939,0.8333333333333334
left,3,426,337,0.7910798122065728,0.7511737089201878,0.8286384976525821
right,3,426,310,0.7276995305164319,0.6830985915492958,0.7699530516431925
left,5,426,300,0.704225352112676,0.6596244131455399,0.7464788732394366
right,5,426,273,0.6408450704225352,0.5938967136150235,0.6854460093896714
left,7,426,265,0.6220657276995305,0.5751173708920188,0.6690140845070423
right,7,426,234,0.5492957746478874,0.5,0.596244131455399
left,10,426,205,0.4812206572769953,0.43427230046948356,0.5305164319248826
right,10,426,191,0.44835680751173707,0.4014084507042254,0.49765258215962443
left,15,426,118,0.27699530516431925,0.2347417840375587,0.3215962441314554
right,15,426,125,0.2934272300469484,0.2511737089201878,0.3380281690140845
left,20,426,76,0.1784037558685446,0.1431924882629108,0.215962441314554
right,20,426,87,0.20422535211267606,0.16666666666666666,0.24413145539906103
left,25,426,56,0.13145539906103287,0.10093896713615023,0.1643192488262911
right,25,426,65,0.15258215962441316,0.11971830985915492,0.18779342723004694
left,30,426,45,0.1056338028169014,0.07746478873239436,0.13615023474178403
right,30,426,52,0.12206572769953052,0.09154929577464789,0.15258215962441316
left,40,426,30,0.07042253521126761,0.046948356807511735,0.09624413145539906
right,40,426,35,0.08215962441314555,0.056338028169014086,0.107981220657277
left,50,426,20,0.046948356807511735,0.028169014084507043,0.06807511737089202
right,50,426,22,0.051643192488262914,0.03051643192488263,0.07276995305164319
