experiment,parameter,parameter_value,side,n,A_before_B,median_A,median_B,median_lead
A_threshold,0.7,9.405918214,left,426,0.971830985915493,5.0,16.0,12.0
A_threshold,0.7,9.405918214,right,426,0.9694835680751174,5.0,18.0,11.0
A_threshold,0.8,10.749620816,left,426,0.9647887323943662,6.0,16.0,11.0
A_threshold,0.8,10.749620816,right,426,0.9460093896713615,6.0,18.0,10.0
A_threshold,0.9,12.093323417999999,left,426,0.9483568075117371,6.5,16.0,10.0
A_threshold,0.9,12.093323417999999,right,426,0.8896713615023474,7.0,18.0,9.0
A_threshold,1.0,13.43702602,left,426,0.9061032863849765,7.5,16.0,9.0
A_threshold,1.0,13.43702602,right,426,0.8474178403755869,8.0,18.0,8.0
A_threshold,1.1,14.780728622,left,426,0.8708920187793427,8.0,16.0,8.0
A_threshold,1.1,14.780728622,right,426,0.7934272300469484,10.0,18.0,7.0
A_threshold,1.2,16.124431224,left,426,0.8192488262910798,10.0,16.0,7.0
A_threshold,1.2,16.124431224,right,426,0.7230046948356808,11.0,18.0,6.0
A_threshold,1.3,17.468133826,left,426,0.7793427230046949,11.0,16.0,6.0
A_threshold,1.3,17.468133826,right,426,0.6690140845070423,11.0,18.0,5.0
C_threshold,0.5,0.0011854,left,426,0.9061032863849765,7.5,16.0,9.0
C_threshold,0.5,0.0011854,right,426,0.8474178403755869,8.0,18.0,8.0
C_threshold,0.75,0.0017781000000000001,left,426,0.9061032863849765,7.5,16.0,9.0
C_threshold,0.75,0.0017781000000000001,right,426,0.8474178403755869,8.0,18.0,8.0
C_threshold,1.0,0.0023708,left,426,0.9061032863849765,7.5,16.0,9.0
C_threshold,1.0,0.0023708,right,426,0.8474178403755869,8.0,18.0,8.0
C_threshold,1.25,0.0029635,left,426,0.9061032863849765,7.5,16.0,9.0
C_threshold,1.25,0.0029635,right,426,0.8474178403755869,8.0,18.0,8.0
C_threshold,1.5,0.0035562000000000002,left,426,0.9061032863849765,7.5,16.0,9.0
C_threshold,1.5,0.0035562000000000002,right,426,0.8474178403755869,8.0,18.0,8.0
C_threshold,2.0,0.0047416,left,426,0.9061032863849765,7.5,16.0,9.0
C_threshold,2.0,0.0047416,right,426,0.8474178403755869,8.0,18.0,8.0
sustained,1,1.0,left,426,0.9084507042253521,7.0,16.0,9.0
sustained,1,1.0,right,426,0.8474178403755869,8.0,18.0,8.0
sustained,2,2.0,left,426,0.9061032863849765,7.5,16.0,9.0
sustained,2,2.0,right,426,0.8474178403755869,8.0,18.0,8.0
sustained,3,3.0,left,426,0.9061032863849765,7.5,16.0,9.0
sustained,3,3.0,right,426,0.8474178403755869,8.0,18.0,8.0
sustained,4,4.0,left,426,0.9061032863849765,7.5,16.0,9.0
sustained,4,4.0,right,426,0.8450704225352113,8.0,18.0,8.0
sustained,5,5.0,left,426,0.9061032863849765,7.5,16.0,9.0
sustained,5,5.0,right,426,0.8450704225352113,8.0,18.0,8.0
A_metric,angular,61.0518798828125,left,202,0.0,99.0,15.0,-84.0
A_metric,angular,61.0518798828125,right,380,0.0,88.0,17.0,-70.0
A_metric,cosine,0.5159825801849366,left,202,0.0,99.0,15.0,-84.0
A_metric,cosine,0.5159825801849366,right,380,0.0,88.0,17.0,-70.0
A_metric,euclidean,1.0158569812774658,left,202,0.0,99.0,15.0,-84.0
A_metric,euclidean,1.0158569812774658,right,380,0.0,88.0,17.0,-70.0
A_metric,path,9.066021092236044,left,401,0.0,100.0,16.0,-82.0
A_metric,path,9.066021092236044,right,421,0.0023752969121140144,96.0,18.0,-77.0
A_metric,rate,0.1377840220928192,left,181,0.049723756906077346,99.0,17.0,-78.0
A_metric,rate,0.1377840220928192,right,170,0.052941176470588235,93.0,18.0,-64.5
A_metric,curvature,23.093663390498207,left,174,0.6781609195402298,8.5,17.5,9.0
A_metric,curvature,23.093663390498207,right,210,0.8476190476190476,0.0,18.5,17.0
A_metric,instability,0.2030266374349594,left,253,0.05138339920948617,99.0,16.0,-79.0
A_metric,instability,0.2030266374349594,right,255,0.0392156862745098,78.0,18.0,-47.0
