expression,side,n,horizon_degrees,warning_count,warning_rate,A_before_B_count,A_before_B_rate,median_lead,primary_eligible
+10,left,2,1,0,0.0,2,1.0,32.5,False
+10,left,2,2,0,0.0,2,1.0,32.5,False
+10,left,2,3,0,0.0,2,1.0,32.5,False
+10,left,2,5,0,0.0,2,1.0,32.5,False
+10,left,2,7,0,0.0,2,1.0,32.5,False
+10,left,2,10,0,0.0,2,1.0,32.5,False
+10,left,2,15,1,0.5,2,1.0,32.5,False
+10,left,2,20,1,0.5,2,1.0,32.5,False
+10,left,2,25,1,0.5,2,1.0,32.5,False
+10,left,2,30,1,0.5,2,1.0,32.5,False
+10,left,2,40,1,0.5,2,1.0,32.5,False
+10,left,2,50,1,0.5,2,1.0,32.5,False
+10,right,2,1,0,0.0,2,1.0,33.5,False
+10,right,2,2,0,0.0,2,1.0,33.5,False
+10,right,2,3,0,0.0,2,1.0,33.5,False
+10,right,2,5,0,0.0,2,1.0,33.5,False
+10,right,2,7,0,0.0,2,1.0,33.5,False
+10,right,2,10,0,0.0,2,1.0,33.5,False
+10,right,2,15,1,0.5,2,1.0,33.5,False
+10,right,2,20,1,0.5,2,1.0,33.5,False
+10,right,2,25,1,0.5,2,1.0,33.5,False
+10,right,2,30,1,0.5,2,1.0,33.5,False
+10,right,2,40,1,0.5,2,1.0,33.5,False
+10,right,2,50,1,0.5,2,1.0,33.5,False
+20,left,2,1,0,0.0,2,1.0,9.5,False
+20,left,2,2,0,0.0,2,1.0,9.5,False
+20,left,2,3,0,0.0,2,1.0,9.5,False
+20,left,2,5,0,0.0,2,1.0,9.5,False
+20,left,2,7,0,0.0,2,1.0,9.5,False
+20,left,2,10,1,0.5,2,1.0,9.5,False
+20,left,2,15,2,1.0,2,1.0,9.5,False
+20,left,2,20,2,1.0,2,1.0,9.5,False
+20,left,2,25,2,1.0,2,1.0,9.5,False
+20,left,2,30,2,1.0,2,1.0,9.5,False
+20,left,2,40,2,1.0,2,1.0,9.5,False
+20,left,2,50,2,1.0,2,1.0,9.5,False
+20,right,2,1,0,0.0,2,1.0,15.5,False
+20,right,2,2,0,0.0,2,1.0,15.5,False
+20,right,2,3,0,0.0,2,1.0,15.5,False
+20,right,2,5,0,0.0,2,1.0,15.5,False
+20,right,2,7,0,0.0,2,1.0,15.5,False
+20,right,2,10,0,0.0,2,1.0,15.5,False
+20,right,2,15,1,0.5,2,1.0,15.5,False
+20,right,2,20,2,1.0,2,1.0,15.5,False
+20,right,2,25,2,1.0,2,1.0,15.5,False
+20,right,2,30,2,1.0,2,1.0,15.5,False
+20,right,2,40,2,1.0,2,1.0,15.5,False
+20,right,2,50,2,1.0,2,1.0,15.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,1,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,2,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,3,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,5,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,7,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,10,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,15,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,20,0,0.0,2,1.0,28.5,False
+20_ZMouth Open Horizontal And Vertical,left,2,25,0,0.0,2,1.0,28.5,False
