expression,side,n_sequences,AB_n,AC_n,CB_n,primary_eligible,A_before_B_percent,A_before_C_percent,C_before_B_percent,median_A_distance,median_C_distance,median_B_distance,median_A_B_lead,mean_A_B_lead,positive_lead_percent
+10,left,2,2,2,2,False,100.0,100.0,100.0,6.5,22.0,39.0,32.5,32.5,100.0
+10,right,2,2,2,2,False,100.0,100.0,100.0,3.5,34.5,37.0,33.5,33.5,100.0
+20,left,2,2,2,2,False,100.0,100.0,100.0,6.0,13.0,15.5,9.5,9.5,100.0
+20,right,2,2,2,2,False,100.0,100.0,100.0,4.5,16.0,20.0,15.5,15.5,100.0
+20_ZMouth Open Horizontal And Vertical,left,2,2,2,2,False,100.0,100.0,100.0,10.0,37.5,38.5,28.5,28.5,100.0
+20_ZMouth Open Horizontal And Vertical,right,2,2,2,2,False,100.0,100.0,0.0,7.5,39.5,39.5,32.0,32.0,100.0
+30,left,2,2,2,2,False,100.0,100.0,50.0,7.5,45.5,49.5,42.0,42.0,100.0
+30,right,2,2,2,2,False,100.0,100.0,100.0,6.0,39.5,52.5,46.5,46.5,100.0
+40,left,2,2,2,2,False,100.0,100.0,50.0,8.0,40.0,42.0,34.0,34.0,100.0
+40,right,2,2,2,2,False,100.0,100.0,50.0,5.5,45.5,46.0,40.5,40.5,100.0
+50,left,2,2,2,2,False,100.0,100.0,0.0,7.5,48.0,48.0,40.5,40.5,100.0
+50,right,2,2,2,2,False,100.0,100.0,50.0,6.5,45.5,47.0,40.5,40.5,100.0
+50_ZMouth Open Horizontal And Vertical,left,2,2,2,2,False,100.0,100.0,50.0,8.0,54.0,54.5,46.5,46.5,100.0
+50_ZMouth Open Horizontal And Vertical,right,2,2,2,2,False,100.0,100.0,0.0,6.0,59.0,59.0,53.0,53.0,100.0
-10,left,2,2,2,2,False,100.0,100.0,50.0,7.5,18.5,19.0,11.5,11.5,100.0
-10,right,2,2,2,2,False,100.0,100.0,50.0,4.0,19.5,36.5,32.5,32.5,100.0
-10_ZMouth Open Horizontal And Vertical,left,2,2,2,2,False,100.0,100.0,0.0,8.5,22.0,22.0,13.5,13.5,100.0
-10_ZMouth Open Horizontal And Vertical,right,2,2,2,2,False,100.0,100.0,50.0,7.5,21.0,21.5,14.0,14.0,100.0
-20,left,2,2,2,2,False,100.0,100.0,50.0,8.5,20.0,20.5,12.0,12.0,100.0
-20,right,2,2,2,2,False,100.0,100.0,50.0,3.0,22.5,24.0,21.0,21.0,100.0
-20_ZMouth Open Horizontal And Vertical,left,2,2,2,2,False,100.0,100.0,100.0,8.0,45.5,48.5,40.5,40.5,100.0
-20_ZMouth Open Horizontal And Vertical,right,2,2,2,2,False,100.0,100.0,100.0,8.5,44.5,45.5,37.0,37.0,100.0
-30,left,2,2,2,2,False,50.0,50.0,50.0,7.0,31.5,33.0,26.0,26.0,50.0
