excluded_expression,A_before_B_left,median_lead_left,A_before_B_right,median_lead_right
+10,0.9504716981132075,10.0,0.8962264150943396,10.0
+20,0.9504716981132075,10.5,0.8962264150943396,10.0
+20_ZMouth Open Horizontal And Vertical,0.9504716981132075,10.0,0.8962264150943396,10.0
+30,0.9504716981132075,10.0,0.8962264150943396,10.0
+40,0.9504716981132075,10.5,0.8962264150943396,10.0
+50,0.9504716981132075,10.0,0.8962264150943396,10.0
+50_ZMouth Open Horizontal And Vertical,0.9504716981132075,10.0,0.8962264150943396,10.0
-10,0.9504716981132075,10.0,0.8962264150943396,10.0
-10_ZMouth Open Horizontal And Vertical,0.9504716981132075,10.0,0.8962264150943396,10.0
-20,0.9504716981132075,10.5,0.8962264150943396,10.0
-20_ZMouth Open Horizontal And Vertical,0.9504716981132075,10.0,0.8962264150943396,10.0
-30,0.9528301886792453,10.5,0.8962264150943396,10.0
-40,0.9504716981132075,10.5,0.8962264150943396,10.0
-50,0.9504716981132075,10.5,0.8962264150943396,10.0
-60,0.9504716981132075,10.0,0.8962264150943396,10.0
0,0.9504716981132075,10.5,0.8962264150943396,10.0
Angry,0.9495192307692307,10.0,0.8942307692307693,10.0
Anguish,0.9504716981132075,11.0,0.8962264150943396,10.0
Animosity Growl,0.9528301886792453,10.5,0.8962264150943396,10.0
Animosity Rebellious,0.9504716981132075,10.0,0.8962264150943396,10.0
Bored,0.9496402877697842,11.0,0.8992805755395683,10.0
BreathTaking Over The Moon,0.9528301886792453,10.5,0.8962264150943396,10.0
Chewing,0.9504716981132075,11.0,0.8962264150943396,10.0
Choking,0.9504716981132075,10.0,0.8962264150943396,10.0
Coughing,0.9528301886792453,10.5,0.8962264150943396,10.0
Crazed,0.9504716981132075,10.0,0.8962264150943396,10.0
Crying,0.9504716981132075,11.0,0.8962264150943396,10.0
Cute,0.9495192307692307,11.0,0.8990384615384616,10.0
Despise,0.9519230769230769,10.0,0.8990384615384616,10.0
Determined,0.9504716981132075,10.5,0.8962264150943396,10.0
Distrust,0.9519230769230769,11.0,0.8990384615384616,10.0
Empathy,0.9519230769230769,11.0,0.8990384615384616,10.0
Expressions Anger,0.9495192307692307,10.0,0.8990384615384616,10.0
Expressions Confusion,0.9519230769230769,11.0,0.9014423076923077,10.0
Expressions Contempt,0.9519230769230769,10.5,0.9014423076923077,10.0
Expressions Desire,0.9519230769230769,10.5,0.8966346153846154,10.0
Expressions Disgust,0.9495192307692307,10.5,0.8966346153846154,10.0
Expressions Excitement,0.9495192307692307,11.0,0.9014423076923077,10.0
Expressions Fear,0.9495192307692307,11.0,0.9014423076923077,10.0
Expressions Happiness,0.9495192307692307,10.0,0.8990384615384616,10.0
Expressions Sadness,0.9519230769230769,11.0,0.9014423076923077,10.0
Expressions Surprise,0.9495192307692307,10.0,0.8942307692307693,10.0
Eyeglasses,0.9504716981132075,10.0,0.8962264150943396,10.0
Fear,0.9495192307692307,10.0,0.8942307692307693,10.0
Fierce Cutthroat,0.9504716981132075,10.0,0.8962264150943396,10.0
Fierce Fiery,0.9504716981132075,10.5,0.8962264150943396,10.0
Fierce Savage,0.9528301886792453,10.5,0.8962264150943396,10.0
Happy,0.9495192307692307,11.0,0.8966346153846154,10.0
Happy Elated,0.9504716981132075,10.0,0.8962264150943396,10.0
