expression,folder,A_left,C_left,B_left,A_right,C_right,B_right,A_distance_left,A_distance_right,C_distance_left,C_distance_right,B_distance_left,B_distance_right,AB_lead_left,AC_lead_left,CB_lead_left,AB_lead_right,AC_lead_right,CB_lead_right
+10,Female_+10,99.0,77.0,45.0,113.0,162.0,165.0,8.0,6.0,30.0,55.0,62.0,58.0,54.0,22.0,32.0,52.0,49.0,3.0
+20,Female_+20,101.0,95.0,93.0,112.0,121.0,128.0,6.0,5.0,12.0,14.0,14.0,21.0,8.0,6.0,2.0,16.0,9.0,7.0
+20_ZMouth Open Horizontal And Vertical,Female_+20_ZMouth Open Horizontal And Vertical,96.0,71.0,70.0,115.0,146.0,146.0,11.0,8.0,36.0,39.0,37.0,39.0,26.0,25.0,1.0,31.0,31.0,0.0
+30,Female_+30,99.0,46.0,38.0,114.0,156.0,179.0,8.0,7.0,61.0,49.0,69.0,72.0,61.0,53.0,8.0,65.0,42.0,23.0
+40,Female_+40,99.0,38.0,38.0,112.0,182.0,182.0,8.0,5.0,69.0,75.0,69.0,75.0,61.0,61.0,0.0,70.0,70.0,0.0
+50,Female_+50,100.0,81.0,81.0,112.0,129.0,129.0,7.0,5.0,26.0,22.0,26.0,22.0,19.0,19.0,0.0,17.0,17.0,0.0
+50_ZMouth Open Horizontal And Vertical,Female_+50_ZMouth Open Horizontal And Vertical,99.0,39.0,39.0,113.0,176.0,176.0,8.0,6.0,68.0,69.0,68.0,69.0,60.0,60.0,0.0,63.0,63.0,0.0
-10,Female_-10,99.0,87.0,87.0,114.0,127.0,127.0,8.0,7.0,20.0,20.0,20.0,20.0,12.0,12.0,0.0,13.0,13.0,0.0
-10_ZMouth Open Horizontal And Vertical,Female_-10_ZMouth Open Horizontal And Vertical,100.0,85.0,85.0,114.0,132.0,132.0,7.0,7.0,22.0,25.0,22.0,25.0,15.0,15.0,0.0,18.0,18.0,0.0
-20,Female_-20,99.0,94.0,93.0,112.0,120.0,120.0,8.0,5.0,13.0,13.0,14.0,13.0,6.0,5.0,1.0,8.0,8.0,0.0
-20_ZMouth Open Horizontal And Vertical,Female_-20_ZMouth Open Horizontal And Vertical,99.0,73.0,72.0,115.0,142.0,143.0,8.0,8.0,34.0,35.0,35.0,36.0,27.0,26.0,1.0,28.0,27.0,1.0
-30,Female_-30,100.0,51.0,48.0,113.0,165.0,166.0,7.0,6.0,56.0,58.0,59.0,59.0,52.0,49.0,3.0,53.0,52.0,1.0
-40,Female_-40,97.0,33.0,33.0,119.0,178.0,178.0,10.0,12.0,74.0,71.0,74.0,71.0,64.0,64.0,0.0,59.0,59.0,0.0
-50,Female_-50,99.0,89.0,89.0,112.0,123.0,123.0,8.0,5.0,18.0,16.0,18.0,16.0,10.0,10.0,0.0,11.0,11.0,0.0
-60,Female_-60,102.0,83.0,83.0,112.0,131.0,131.0,5.0,5.0,24.0,24.0,24.0,24.0,19.0,19.0,0.0,19.0,19.0,0.0
0,Female_0,98.0,77.0,77.0,112.0,138.0,138.0,9.0,5.0,30.0,31.0,30.0,31.0,21.0,21.0,0.0,26.0,26.0,0.0
Angry,Female_Angry 01,100.0,89.0,77.0,117.0,119.0,152.0,7.0,10.0,18.0,12.0,30.0,45.0,23.0,11.0,12.0,35.0,2.0,33.0
Angry,Female_Angry 02,96.0,101.0,38.0,120.0,135.0,136.0,11.0,13.0,6.0,28.0,69.0,29.0,58.0,-5.0,63.0,16.0,15.0,1.0
Angry,Female_Angry 03,98.0,87.0,86.0,117.0,129.0,129.0,9.0,10.0,20.0,22.0,21.0,22.0,12.0,11.0,1.0,12.0,12.0,0.0
Angry,Female_Angry 04,99.0,94.0,93.0,114.0,121.0,126.0,8.0,7.0,13.0,14.0,14.0,19.0,6.0,5.0,1.0,12.0,7.0,5.0
Angry,Female_Angry 05,94.0,78.0,77.0,119.0,128.0,129.0,13.0,12.0,29.0,21.0,30.0,22.0,17.0,16.0,1.0,10.0,9.0,1.0
Anguish,Female_Anguish,100.0,96.0,95.0,114.0,119.0,135.0,7.0,7.0,11.0,12.0,12.0,28.0,5.0,4.0,1.0,21.0,5.0,16.0
Animosity Growl,Female_Animosity Growl,101.0,46.0,44.0,111.0,171.0,171.0,6.0,4.0,61.0,64.0,63.0,64.0,57.0,55.0,2.0,60.0,60.0,0.0
Animosity Rebellious,Female_Animosity Rebellious,100.0,82.0,78.0,113.0,136.0,136.0,7.0,6.0,25.0,29.0,29.0,29.0,22.0,18.0,4.0,23.0,23.0,0.0
Bored,Female_Bored 01,100.0,95.0,94.0,113.0,132.0,136.0,7.0,6.0,12.0,25.0,13.0,29.0,6.0,5.0,1.0,23.0,19.0,4.0
Bored,Female_Bored 02,99.0,94.0,94.0,115.0,121.0,138.0,8.0,8.0,13.0,14.0,13.0,31.0,5.0,5.0,0.0,23.0,6.0,17.0
Bored,Female_Bored 03,99.0,101.0,98.0,118.0,115.0,117.0,8.0,11.0,6.0,8.0,9.0,10.0,1.0,-2.0,3.0,-1.0,-3.0,2.0
Bored,Female_Bored 04,97.0,87.0,86.0,119.0,130.0,138.0,10.0,12.0,20.0,23.0,21.0,31.0,11.0,10.0,1.0,19.0,11.0,8.0
Bored,Female_Bored 05,98.0,98.0,94.0,118.0,118.0,120.0,9.0,11.0,9.0,11.0,13.0,13.0,4.0,0.0,4.0,2.0,0.0,2.0
BreathTaking Over The Moon,Female_BreathTaking Over The Moon,98.0,49.0,43.0,112.0,171.0,193.0,9.0,5.0,58.0,64.0,64.0,86.0,55.0,49.0,6.0,81.0,59.0,22.0
Chewing,Female_Chewing,99.0,93.0,91.0,116.0,133.0,133.0,8.0,9.0,14.0,26.0,16.0,26.0,8.0,6.0,2.0,17.0,17.0,0.0
Choking,Female_Choking,97.0,91.0,84.0,117.0,124.0,124.0,10.0,10.0,16.0,17.0,23.0,17.0,13.0,6.0,7.0,7.0,7.0,0.0
Coughing,Female_Coughing,96.0,42.0,42.0,117.0,172.0,172.0,11.0,10.0,65.0,65.0,65.0,65.0,54.0,54.0,0.0,55.0,55.0,0.0
Crazed,Female_Crazed,98.0,76.0,76.0,115.0,166.0,166.0,9.0,8.0,31.0,59.0,31.0,59.0,22.0,22.0,0.0,51.0,51.0,0.0
Crying,Female_Crying,100.0,98.0,95.0,114.0,113.0,122.0,7.0,7.0,9.0,6.0,12.0,15.0,5.0,2.0,3.0,8.0,-1.0,9.0
Cute,Female_Cute 01,98.0,92.0,90.0,118.0,137.0,137.0,9.0,11.0,15.0,30.0,17.0,30.0,8.0,6.0,2.0,19.0,19.0,0.0
Cute,Female_Cute 02,100.0,107.0,90.0,118.0,107.0,130.0,7.0,11.0,0.0,0.0,17.0,23.0,10.0,-7.0,17.0,12.0,-11.0,23.0
Cute,Female_Cute 03,99.0,92.0,90.0,118.0,127.0,128.0,8.0,11.0,15.0,20.0,17.0,21.0,9.0,7.0,2.0,10.0,9.0,1.0
Cute,Female_Cute 04,100.0,91.0,88.0,118.0,121.0,126.0,7.0,11.0,16.0,14.0,19.0,19.0,12.0,9.0,3.0,8.0,3.0,5.0
Cute,Female_Cute 05,97.0,96.0,95.0,118.0,118.0,119.0,10.0,11.0,11.0,11.0,12.0,12.0,2.0,1.0,1.0,1.0,0.0,1.0
Despise,Female_Despise 01,98.0,88.0,87.0,119.0,115.0,120.0,9.0,12.0,19.0,8.0,20.0,13.0,11.0,10.0,1.0,1.0,-4.0,5.0
Despise,Female_Despise 02,98.0,79.0,78.0,117.0,132.0,134.0,9.0,10.0,28.0,25.0,29.0,27.0,20.0,19.0,1.0,17.0,15.0,2.0
Despise,Female_Despise 03,98.0,87.0,85.0,118.0,128.0,130.0,9.0,11.0,20.0,21.0,22.0,23.0,13.0,11.0,2.0,12.0,10.0,2.0
Despise,Female_Despise 04,98.0,97.0,94.0,117.0,124.0,125.0,9.0,10.0,10.0,17.0,13.0,18.0,4.0,1.0,3.0,8.0,7.0,1.0
Despise,Female_Despise 05,97.0,86.0,84.0,119.0,115.0,119.0,10.0,12.0,21.0,8.0,23.0,12.0,13.0,11.0,2.0,0.0,-4.0,4.0
Determined,Female_Determined,99.0,88.0,88.0,114.0,126.0,128.0,8.0,7.0,19.0,19.0,19.0,21.0,11.0,11.0,0.0,14.0,12.0,2.0
Distrust,Female_Distrust 01,98.0,102.0,96.0,118.0,118.0,120.0,9.0,11.0,5.0,11.0,11.0,13.0,2.0,-4.0,6.0,2.0,0.0,2.0
Distrust,Female_Distrust 02,99.0,100.0,98.0,118.0,111.0,113.0,8.0,11.0,7.0,4.0,9.0,6.0,1.0,-1.0,2.0,-5.0,-7.0,2.0
Distrust,Female_Distrust 03,98.0,89.0,88.0,118.0,137.0,138.0,9.0,11.0,18.0,30.0,19.0,31.0,10.0,9.0,1.0,20.0,19.0,1.0
Distrust,Female_Distrust 04,99.0,92.0,88.0,118.0,120.0,120.0,8.0,11.0,15.0,13.0,19.0,13.0,11.0,7.0,4.0,2.0,2.0,0.0
Distrust,Female_Distrust 05,100.0,99.0,98.0,118.0,125.0,126.0,7.0,11.0,8.0,18.0,9.0,19.0,2.0,1.0,1.0,8.0,7.0,1.0
Empathy,Female_Empathy 01,100.0,104.0,98.0,117.0,109.0,118.0,7.0,10.0,3.0,2.0,9.0,11.0,2.0,-4.0,6.0,1.0,-8.0,9.0
Empathy,Female_Empathy 02,98.0,91.0,90.0,118.0,120.0,126.0,9.0,11.0,16.0,13.0,17.0,19.0,8.0,7.0,1.0,8.0,2.0,6.0
Empathy,Female_Empathy 03,99.0,99.0,96.0,116.0,125.0,130.0,8.0,9.0,8.0,18.0,11.0,23.0,3.0,0.0,3.0,14.0,9.0,5.0
Empathy,Female_Empathy 04,98.0,99.0,91.0,117.0,121.0,123.0,9.0,10.0,8.0,14.0,16.0,16.0,7.0,-1.0,8.0,6.0,4.0,2.0
Empathy,Female_Empathy 05,98.0,99.0,99.0,117.0,135.0,135.0,9.0,10.0,8.0,28.0,8.0,28.0,-1.0,-1.0,0.0,18.0,18.0,0.0
Expressions Anger,Female_Expressions Anger 01,98.0,98.0,97.0,127.0,119.0,122.0,9.0,20.0,9.0,12.0,10.0,15.0,1.0,0.0,1.0,-5.0,-8.0,3.0
Expressions Anger,Female_Expressions Anger 02,96.0,84.0,83.0,124.0,125.0,127.0,11.0,17.0,23.0,18.0,24.0,20.0,13.0,12.0,1.0,3.0,1.0,2.0
Expressions Anger,Female_Expressions Anger 03,98.0,85.0,84.0,125.0,125.0,127.0,9.0,18.0,22.0,18.0,23.0,20.0,14.0,13.0,1.0,2.0,0.0,2.0
Expressions Anger,Female_Expressions Anger 04,97.0,93.0,93.0,127.0,130.0,131.0,10.0,20.0,14.0,23.0,14.0,24.0,4.0,4.0,0.0,4.0,3.0,1.0
Expressions Anger,Female_Expressions Anger 05,96.0,85.0,85.0,125.0,124.0,125.0,11.0,18.0,22.0,17.0,22.0,18.0,11.0,11.0,0.0,0.0,-1.0,1.0
Expressions Confusion,Female_Expressions Confusion 01,97.0,95.0,95.0,128.0,129.0,136.0,10.0,21.0,12.0,22.0,12.0,29.0,2.0,2.0,0.0,8.0,1.0,7.0
Expressions Confusion,Female_Expressions Confusion 02,99.0,94.0,84.0,128.0,128.0,128.0,8.0,21.0,13.0,21.0,23.0,21.0,15.0,5.0,10.0,0.0,0.0,0.0
Expressions Confusion,Female_Expressions Confusion 03,98.0,99.0,97.0,126.0,126.0,127.0,9.0,19.0,8.0,19.0,10.0,20.0,1.0,-1.0,2.0,1.0,0.0,1.0
Expressions Confusion,Female_Expressions Confusion 04,97.0,100.0,98.0,127.0,119.0,127.0,10.0,20.0,7.0,12.0,9.0,20.0,-1.0,-3.0,2.0,0.0,-8.0,8.0
Expressions Confusion,Female_Expressions Confusion 05,99.0,86.0,84.0,130.0,134.0,134.0,8.0,23.0,21.0,27.0,23.0,27.0,15.0,13.0,2.0,4.0,4.0,0.0
Expressions Contempt,Female_Expressions Contempt 01,97.0,97.0,87.0,127.0,124.0,127.0,10.0,20.0,10.0,17.0,20.0,20.0,10.0,0.0,10.0,0.0,-3.0,3.0
Expressions Contempt,Female_Expressions Contempt 02,97.0,98.0,97.0,127.0,148.0,150.0,10.0,20.0,9.0,41.0,10.0,43.0,0.0,-1.0,1.0,23.0,21.0,2.0
Expressions Contempt,Female_Expressions Contempt 03,98.0,83.0,83.0,127.0,138.0,140.0,9.0,20.0,24.0,31.0,24.0,33.0,15.0,15.0,0.0,13.0,11.0,2.0
Expressions Contempt,Female_Expressions Contempt 04,97.0,97.0,95.0,127.0,124.0,127.0,10.0,20.0,10.0,17.0,12.0,20.0,2.0,0.0,2.0,0.0,-3.0,3.0
Expressions Contempt,Female_Expressions Contempt 05,97.0,78.0,77.0,129.0,133.0,139.0,10.0,22.0,29.0,26.0,30.0,32.0,20.0,19.0,1.0,10.0,4.0,6.0
Expressions Desire,Female_Expressions Desire 01,98.0,102.0,100.0,127.0,119.0,120.0,9.0,20.0,5.0,12.0,7.0,13.0,-2.0,-4.0,2.0,-7.0,-8.0,1.0
