appearance_identity,n_sequences,n_valid_A_B,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead
Male_Base,206,412,0.9490291262135923,94.90291262135922,0.9233383670956515,0.966423503770563,8.5,13.885922330097088
Female_Base,205,410,0.8951219512195122,89.51219512195122,0.8617067242046197,0.9212015189492828,12.0,16.11219512195122
Male_Beard_Bearded,1,2,1.0,100.0,0.34237195288961925,1.0,20.5,20.5
Male_Beard_Cavalier,1,2,1.0,100.0,0.34237195288961925,1.0,49.5,49.5
Male_Beard_Dapper,1,2,1.0,100.0,0.34237195288961925,1.0,12.0,12.0
Male_Beard_Flynn,1,2,1.0,100.0,0.34237195288961925,1.0,13.0,13.0
Male_Beard_Franz_Josef,1,2,1.0,100.0,0.34237195288961925,1.0,6.0,6.0
Male_Beard_Friendly_Mutton_Chops,1,2,1.0,100.0,0.34237195288961925,1.0,22.5,22.5
Male_Beard_Fu_Manchu,1,2,1.0,100.0,0.34237195288961925,1.0,7.0,7.0
Male_Beard_Fu_Manchu_Goatee,1,2,1.0,100.0,0.34237195288961925,1.0,18.0,18.0
Male_Beard_Full_Beard,1,2,1.0,100.0,0.34237195288961925,1.0,5.5,5.5
Male_Beard_Goatee,1,2,1.0,100.0,0.34237195288961925,1.0,13.5,13.5
Male_Beard_Grizzly_Beard,1,0,,,,,,
Male_Beard_Mutton_Chops,1,2,1.0,100.0,0.34237195288961925,1.0,16.0,16.0
Male_Beard_Napoleon_III,1,2,1.0,100.0,0.34237195288961925,1.0,59.5,59.5
Male_Beard_Officer,1,2,1.0,100.0,0.34237195288961925,1.0,13.0,13.0
Male_Beard_Pioneer,1,2,1.0,100.0,0.34237195288961925,1.0,38.0,38.0
Male_Beard_Stubbled,1,2,1.0,100.0,0.34237195288961925,1.0,40.0,40.0
