identity,side,expression,n_sequences,n_valid_A_B,primary_eligible,A_before_B,A_before_B_percent,ci_low,ci_high,median_lead,mean_lead,positive_lead_percent
Female,left,+10,1,1,False,1.0,100.0,0.20654329147389294,1.0,54.0,54.0,100.0
Female,left,+20,1,1,False,1.0,100.0,0.20654329147389294,1.0,8.0,8.0,100.0
Female,left,+20_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,26.0,26.0,100.0
Female,left,+30,1,1,False,1.0,100.0,0.20654329147389294,1.0,61.0,61.0,100.0
Female,left,+40,1,1,False,1.0,100.0,0.20654329147389294,1.0,61.0,61.0,100.0
Female,left,+50,1,1,False,1.0,100.0,0.20654329147389294,1.0,19.0,19.0,100.0
Female,left,+50_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,60.0,60.0,100.0
Female,left,-10,1,1,False,1.0,100.0,0.20654329147389294,1.0,12.0,12.0,100.0
Female,left,-10_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,15.0,15.0,100.0
Female,left,-20,1,1,False,1.0,100.0,0.20654329147389294,1.0,6.0,6.0,100.0
Female,left,-20_ZMouth Open Horizontal And Vertical,1,1,False,1.0,100.0,0.20654329147389294,1.0,27.0,27.0,100.0
Female,left,-30,1,1,False,1.0,100.0,0.20654329147389294,1.0,52.0,52.0,100.0
Female,left,-40,1,1,False,1.0,100.0,0.20654329147389294,1.0,64.0,64.0,100.0
Female,left,-50,1,1,False,1.0,100.0,0.20654329147389294,1.0,10.0,10.0,100.0
Female,left,-60,1,1,False,1.0,100.0,0.20654329147389294,1.0,19.0,19.0,100.0
Female,left,0,1,1,False,1.0,100.0,0.20654329147389294,1.0,21.0,21.0,100.0
Female,left,Angry,5,5,True,1.0,100.0,0.5655085052479191,1.0,17.0,23.2,100.0
Female,left,Anguish,1,1,False,1.0,100.0,0.20654329147389294,1.0,5.0,5.0,100.0
Female,left,Animosity Growl,1,1,False,1.0,100.0,0.20654329147389294,1.0,57.0,57.0,100.0
