excluded_expression,Female_left_A_before_B,Female_left_median_lead,Female_left_mean_lead,Female_right_A_before_B,Female_right_median_lead,Female_right_mean_lead,Male_left_A_before_B,Male_left_median_lead,Male_left_mean_lead,Male_right_A_before_B,Male_right_median_lead,Male_right_mean_lead
+10,0.9362745098039216,12.0,15.75,0.8529411764705882,11.5,16.112745098039216,0.9681818181818181,9.0,14.409090909090908,0.9363636363636364,8.0,14.513636363636364
+20,0.9362745098039216,12.0,15.97549019607843,0.8529411764705882,11.5,16.28921568627451,0.9681818181818181,9.0,14.409090909090908,0.9363636363636364,8.0,14.513636363636364
+20_ZMouth Open Horizontal And Vertical,0.9362745098039216,12.0,15.887254901960784,0.8529411764705882,11.5,16.215686274509803,0.9681818181818181,9.0,14.318181818181818,0.9363636363636364,8.0,14.431818181818182
+30,0.9362745098039216,12.0,15.715686274509803,0.8529411764705882,11.5,16.04901960784314,0.9681818181818181,9.0,14.354545454545455,0.9363636363636364,8.0,14.454545454545455
+40,0.9362745098039216,12.0,15.715686274509803,0.8529411764705882,11.5,16.024509803921568,0.9681818181818181,9.5,14.427272727272728,0.9363636363636364,8.0,14.531818181818181
+50,0.9362745098039216,12.0,15.92156862745098,0.8529411764705882,11.5,16.284313725490197,0.9681818181818181,9.0,14.177272727272728,0.9363636363636364,8.0,14.290909090909091
+50_ZMouth Open Horizontal And Vertical,0.9362745098039216,12.0,15.720588235294118,0.8529411764705882,11.5,16.058823529411764,0.9681818181818181,9.0,14.309090909090909,0.9363636363636364,8.0,14.386363636363637
-10,0.9362745098039216,12.0,15.955882352941176,0.8529411764705882,11.5,16.30392156862745,0.9681818181818181,9.0,14.409090909090908,0.9363636363636364,8.0,14.345454545454546
-10_ZMouth Open Horizontal And Vertical,0.9362745098039216,12.0,15.941176470588236,0.8529411764705882,11.5,16.279411764705884,0.9681818181818181,9.0,14.404545454545454,0.9363636363636364,8.0,14.536363636363637
-20,0.9362745098039216,12.0,15.985294117647058,0.8529411764705882,12.0,16.32843137254902,0.9681818181818181,9.0,14.377272727272727,0.9363636363636364,8.0,14.427272727272728
-20_ZMouth Open Horizontal And Vertical,0.9362745098039216,12.0,15.882352941176471,0.8529411764705882,11.5,16.230392156862745,0.9681818181818181,9.0,14.213636363636363,0.9363636363636364,8.0,14.372727272727273
-30,0.9362745098039216,12.0,15.759803921568627,0.8529411764705882,11.5,16.107843137254903,0.9727272727272728,9.5,14.459090909090909,0.9363636363636364,8.0,14.540909090909091
-40,0.9362745098039216,12.0,15.700980392156863,0.8529411764705882,11.5,16.07843137254902,0.9681818181818181,9.0,14.413636363636364,0.9363636363636364,8.0,14.527272727272727
-50,0.9362745098039216,12.0,15.965686274509803,0.8529411764705882,12.0,16.313725490196077,0.9681818181818181,9.0,14.154545454545454,0.9363636363636364,8.0,14.3
-60,0.9362745098039216,12.0,15.92156862745098,0.8529411764705882,11.5,16.274509803921568,0.9681818181818181,9.0,14.404545454545454,0.9363636363636364,8.0,14.495454545454546
0,0.9362745098039216,12.0,15.911764705882353,0.8529411764705882,11.5,16.24019607843137,0.9681818181818181,9.5,14.418181818181818,0.9363636363636364,8.0,14.50909090909091
Angry,0.935,11.5,15.755,0.85,11.0,16.27,0.9675925925925926,9.5,14.453703703703704,0.9351851851851852,8.0,14.51388888888889
Anguish,0.9362745098039216,12.0,15.990196078431373,0.8529411764705882,11.5,16.264705882352942,0.9681818181818181,9.5,14.445454545454545,0.9363636363636364,8.0,14.522727272727273
Animosity Growl,0.9362745098039216,12.0,15.735294117647058,0.8529411764705882,11.5,16.073529411764707,0.9727272727272728,9.5,14.486363636363636,0.9363636363636364,8.0,14.49090909090909
Animosity Rebellious,0.9362745098039216,12.0,15.906862745098039,0.8529411764705882,11.5,16.254901960784313,0.9681818181818181,9.0,14.286363636363637,0.9363636363636364,8.0,14.39090909090909
Bored,0.935,12.0,16.2,0.855,11.5,16.365,0.967741935483871,10.0,14.603686635944701,0.9400921658986175,8.0,14.67741935483871
BreathTaking Over The Moon,0.9362745098039216,12.0,15.745098039215685,0.8529411764705882,11.5,15.970588235294118,0.9727272727272728,9.5,14.468181818181819,0.9363636363636364,8.0,14.563636363636364
Chewing,0.9362745098039216,12.0,15.97549019607843,0.8529411764705882,11.5,16.284313725490197,0.9681818181818181,9.5,14.440909090909091,0.9363636363636364,8.0,14.572727272727272
Choking,0.9362745098039216,12.0,15.950980392156863,0.8529411764705882,12.0,16.333333333333332,0.9681818181818181,9.0,14.39090909090909,0.9363636363636364,8.0,14.504545454545454
Coughing,0.9362745098039216,12.0,15.75,0.8529411764705882,11.5,16.098039215686274,0.9727272727272728,9.5,14.459090909090909,0.9363636363636364,8.0,14.545454545454545
Crazed,0.9362745098039216,12.0,15.906862745098039,0.8529411764705882,11.5,16.11764705882353,0.9681818181818181,9.0,14.268181818181818,0.9363636363636364,8.0,14.322727272727272
Crying,0.9362745098039216,12.0,15.990196078431373,0.8529411764705882,12.0,16.32843137254902,0.9681818181818181,9.5,14.440909090909091,0.9363636363636364,8.0,14.577272727272728
