folder,expression,sex_identity,appearance_identity,identity_family,side,A_view,C_view,B_view,A_distance,C_distance,B_distance,A_B_lead,A_before_B,n_viewpoints,reference_viewpoint,true_folder
Female_+10,+10,Female,Female_Base,Female,left,99.0,77.0,45.0,8,30.0,62.0,54.0,1,215,107,Female_+10
Female_+10,+10,Female,Female_Base,Female,right,113.0,162.0,165.0,6,55.0,58.0,52.0,1,215,107,Female_+10
Female_+20,+20,Female,Female_Base,Female,left,101.0,95.0,93.0,6,12.0,14.0,8.0,1,215,107,Female_+20
Female_+20,+20,Female,Female_Base,Female,right,112.0,121.0,128.0,5,14.0,21.0,16.0,1,215,107,Female_+20
Female_+20_ZMouth Open Horizontal And Vertical,+20_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,left,96.0,71.0,70.0,11,36.0,37.0,26.0,1,215,107,Female_+20_ZMouth Open Horizontal And Vertical
Female_+20_ZMouth Open Horizontal And Vertical,+20_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,right,115.0,146.0,146.0,8,39.0,39.0,31.0,1,215,107,Female_+20_ZMouth Open Horizontal And Vertical
Female_+30,+30,Female,Female_Base,Female,left,99.0,46.0,38.0,8,61.0,69.0,61.0,1,215,107,Female_+30
Female_+30,+30,Female,Female_Base,Female,right,114.0,156.0,179.0,7,49.0,72.0,65.0,1,215,107,Female_+30
Female_+40,+40,Female,Female_Base,Female,left,99.0,38.0,38.0,8,69.0,69.0,61.0,1,215,107,Female_+40
Female_+40,+40,Female,Female_Base,Female,right,112.0,182.0,182.0,5,75.0,75.0,70.0,1,215,107,Female_+40
Female_+50,+50,Female,Female_Base,Female,left,100.0,81.0,81.0,7,26.0,26.0,19.0,1,215,107,Female_+50
Female_+50,+50,Female,Female_Base,Female,right,112.0,129.0,129.0,5,22.0,22.0,17.0,1,215,107,Female_+50
Female_+50_ZMouth Open Horizontal And Vertical,+50_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,left,99.0,39.0,39.0,8,68.0,68.0,60.0,1,215,107,Female_+50_ZMouth Open Horizontal And Vertical
Female_+50_ZMouth Open Horizontal And Vertical,+50_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,right,113.0,176.0,176.0,6,69.0,69.0,63.0,1,215,107,Female_+50_ZMouth Open Horizontal And Vertical
Female_-10,-10,Female,Female_Base,Female,left,99.0,87.0,87.0,8,20.0,20.0,12.0,1,215,107,Female_-10
Female_-10,-10,Female,Female_Base,Female,right,114.0,127.0,127.0,7,20.0,20.0,13.0,1,215,107,Female_-10
Female_-10_ZMouth Open Horizontal And Vertical,-10_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,left,100.0,85.0,85.0,7,22.0,22.0,15.0,1,215,107,Female_-10_ZMouth Open Horizontal And Vertical
Female_-10_ZMouth Open Horizontal And Vertical,-10_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,right,114.0,132.0,132.0,7,25.0,25.0,18.0,1,215,107,Female_-10_ZMouth Open Horizontal And Vertical
Female_-20,-20,Female,Female_Base,Female,left,99.0,94.0,93.0,8,13.0,14.0,6.0,1,215,107,Female_-20
Female_-20,-20,Female,Female_Base,Female,right,112.0,120.0,120.0,5,13.0,13.0,8.0,1,215,107,Female_-20
Female_-20_ZMouth Open Horizontal And Vertical,-20_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,left,99.0,73.0,72.0,8,34.0,35.0,27.0,1,215,107,Female_-20_ZMouth Open Horizontal And Vertical
Female_-20_ZMouth Open Horizontal And Vertical,-20_ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,right,115.0,142.0,143.0,8,35.0,36.0,28.0,1,215,107,Female_-20_ZMouth Open Horizontal And Vertical
Female_-30,-30,Female,Female_Base,Female,left,100.0,51.0,48.0,7,56.0,59.0,52.0,1,215,107,Female_-30
Female_-30,-30,Female,Female_Base,Female,right,113.0,165.0,166.0,6,58.0,59.0,53.0,1,215,107,Female_-30
Female_-40,-40,Female,Female_Base,Female,left,97.0,33.0,33.0,10,74.0,74.0,64.0,1,215,107,Female_-40
Female_-40,-40,Female,Female_Base,Female,right,119.0,178.0,178.0,12,71.0,71.0,59.0,1,215,107,Female_-40
Female_-50,-50,Female,Female_Base,Female,left,99.0,89.0,89.0,8,18.0,18.0,10.0,1,215,107,Female_-50
Female_-50,-50,Female,Female_Base,Female,right,112.0,123.0,123.0,5,16.0,16.0,11.0,1,215,107,Female_-50
Female_-60,-60,Female,Female_Base,Female,left,102.0,83.0,83.0,5,24.0,24.0,19.0,1,215,107,Female_-60
Female_-60,-60,Female,Female_Base,Female,right,112.0,131.0,131.0,5,24.0,24.0,19.0,1,215,107,Female_-60
Female_0,0,Female,Female_Base,Female,left,98.0,77.0,77.0,9,30.0,30.0,21.0,1,215,107,Female_0
Female_0,0,Female,Female_Base,Female,right,112.0,138.0,138.0,5,31.0,31.0,26.0,1,215,107,Female_0
Female_Angry 01,Angry,Female,Female_Base,Female,left,100.0,89.0,77.0,7,18.0,30.0,23.0,1,215,107,Female_Angry 01
Female_Angry 01,Angry,Female,Female_Base,Female,right,117.0,119.0,152.0,10,12.0,45.0,35.0,1,215,107,Female_Angry 01
Female_Angry 02,Angry,Female,Female_Base,Female,left,96.0,101.0,38.0,11,6.0,69.0,58.0,1,215,107,Female_Angry 02
Female_Angry 02,Angry,Female,Female_Base,Female,right,120.0,135.0,136.0,13,28.0,29.0,16.0,1,215,107,Female_Angry 02
