expression,side,A_before_B_female,mean_lead_female,median_lead_female,n_sequences_female,A_before_B_male,mean_lead_male,median_lead_male,n_sequences_male,rate_difference_female_minus_male,mean_lead_difference_female_minus_male
+10,left,1.0,54.0,54.0,1,1.0,11.0,11.0,1,0.0,43.0
+10,right,1.0,52.0,52.0,1,1.0,15.0,15.0,1,0.0,37.0
+20,left,1.0,8.0,8.0,1,1.0,11.0,11.0,1,0.0,-3.0
+20,right,1.0,16.0,16.0,1,1.0,15.0,15.0,1,0.0,1.0
+20_ZMouth Open Horizontal And Vertical,left,1.0,26.0,26.0,1,1.0,31.0,31.0,1,0.0,-5.0
+20_ZMouth Open Horizontal And Vertical,right,1.0,31.0,31.0,1,1.0,33.0,33.0,1,0.0,-2.0
+30,left,1.0,61.0,61.0,1,1.0,23.0,23.0,1,0.0,38.0
+30,right,1.0,65.0,65.0,1,1.0,28.0,28.0,1,0.0,37.0
+40,left,1.0,61.0,61.0,1,1.0,7.0,7.0,1,0.0,54.0
+40,right,1.0,70.0,70.0,1,1.0,11.0,11.0,1,0.0,59.0
+50,left,1.0,19.0,19.0,1,1.0,62.0,62.0,1,0.0,-43.0
+50,right,1.0,17.0,17.0,1,1.0,64.0,64.0,1,0.0,-47.0
+50_ZMouth Open Horizontal And Vertical,left,1.0,60.0,60.0,1,1.0,33.0,33.0,1,0.0,27.0
+50_ZMouth Open Horizontal And Vertical,right,1.0,63.0,63.0,1,1.0,43.0,43.0,1,0.0,20.0
-10,left,1.0,12.0,12.0,1,1.0,11.0,11.0,1,0.0,1.0
-10,right,1.0,13.0,13.0,1,1.0,52.0,52.0,1,0.0,-39.0
-10_ZMouth Open Horizontal And Vertical,left,1.0,15.0,15.0,1,1.0,12.0,12.0,1,0.0,3.0
-10_ZMouth Open Horizontal And Vertical,right,1.0,18.0,18.0,1,1.0,10.0,10.0,1,0.0,8.0
-20,left,1.0,6.0,6.0,1,1.0,18.0,18.0,1,0.0,-12.0
-20,right,1.0,8.0,8.0,1,1.0,34.0,34.0,1,0.0,-26.0
-20_ZMouth Open Horizontal And Vertical,left,1.0,27.0,27.0,1,1.0,54.0,54.0,1,0.0,-27.0
-20_ZMouth Open Horizontal And Vertical,right,1.0,28.0,28.0,1,1.0,46.0,46.0,1,0.0,-18.0
-30,left,1.0,52.0,52.0,1,0.0,0.0,0.0,1,1.0,52.0
-30,right,1.0,53.0,53.0,1,1.0,9.0,9.0,1,0.0,44.0
-40,left,1.0,64.0,64.0,1,1.0,10.0,10.0,1,0.0,54.0
-40,right,1.0,59.0,59.0,1,1.0,12.0,12.0,1,0.0,47.0
-50,left,1.0,10.0,10.0,1,1.0,67.0,67.0,1,0.0,-57.0
-50,right,1.0,11.0,11.0,1,1.0,62.0,62.0,1,0.0,-51.0
-60,left,1.0,19.0,19.0,1,1.0,12.0,12.0,1,0.0,7.0
-60,right,1.0,19.0,19.0,1,1.0,19.0,19.0,1,0.0,0.0
0,left,1.0,21.0,21.0,1,1.0,9.0,9.0,1,0.0,12.0
0,right,1.0,26.0,26.0,1,1.0,16.0,16.0,1,0.0,10.0
Angry,left,1.0,23.2,17.0,5,1.0,11.8,7.0,5,0.0,11.399999999999999
Angry,right,1.0,17.0,12.0,5,1.0,14.6,18.0,5,0.0,2.4000000000000004
Anguish,left,1.0,5.0,5.0,1,1.0,3.0,3.0,1,0.0,2.0
Anguish,right,1.0,21.0,21.0,1,1.0,13.0,13.0,1,0.0,8.0
Animosity Growl,left,1.0,57.0,57.0,1,0.0,-6.0,-6.0,1,1.0,63.0
Animosity Growl,right,1.0,60.0,60.0,1,1.0,20.0,20.0,1,0.0,40.0
Animosity Rebellious,left,1.0,22.0,22.0,1,1.0,38.0,38.0,1,0.0,-16.0
Animosity Rebellious,right,1.0,23.0,23.0,1,1.0,42.0,42.0,1,0.0,-19.0
Bored,left,1.0,5.4,5.0,5,1.0,3.0,3.0,4,0.0,2.4000000000000004
Bored,right,0.8,13.2,19.0,5,0.75,5.75,4.0,4,0.050000000000000044,7.449999999999999
BreathTaking Over The Moon,left,1.0,55.0,55.0,1,0.0,-2.0,-2.0,1,1.0,57.0
BreathTaking Over The Moon,right,1.0,81.0,81.0,1,1.0,4.0,4.0,1,0.0,77.0
Chewing,left,1.0,8.0,8.0,1,1.0,4.0,4.0,1,0.0,4.0
Chewing,right,1.0,17.0,17.0,1,1.0,2.0,2.0,1,0.0,15.0
Choking,left,1.0,13.0,13.0,1,1.0,15.0,15.0,1,0.0,-2.0
Choking,right,1.0,7.0,7.0,1,1.0,17.0,17.0,1,0.0,-10.0
Coughing,left,1.0,54.0,54.0,1,0.0,0.0,0.0,1,1.0,54.0
Coughing,right,1.0,55.0,55.0,1,1.0,8.0,8.0,1,0.0,47.0
Crazed,left,1.0,22.0,22.0,1,1.0,42.0,42.0,1,0.0,-20.0
Crazed,right,1.0,51.0,51.0,1,1.0,57.0,57.0,1,0.0,-6.0
Crying,left,1.0,5.0,5.0,1,1.0,4.0,4.0,1,0.0,1.0
Crying,right,1.0,8.0,8.0,1,1.0,1.0,1.0,1,0.0,7.0
Cute,left,1.0,8.2,9.0,5,1.0,5.0,4.0,5,0.0,3.1999999999999993
Cute,right,1.0,10.0,10.0,5,0.6,4.6,3.0,5,0.4,5.4
Despise,left,1.0,12.2,13.0,5,0.8,8.4,5.0,5,0.19999999999999996,3.799999999999999
Despise,right,0.8,7.6,8.0,5,0.8,15.6,7.0,5,0.0,-8.0
Determined,left,1.0,11.0,11.0,1,1.0,2.0,2.0,1,0.0,9.0
Determined,right,1.0,14.0,14.0,1,1.0,10.0,10.0,1,0.0,4.0
Distrust,left,1.0,5.2,2.0,5,0.8,3.4,1.0,5,0.19999999999999996,1.8000000000000003
Distrust,right,0.8,5.4,2.0,5,0.8,3.2,3.0,5,0.0,2.2
Empathy,left,0.8,3.8,3.0,5,1.0,3.0,3.0,5,-0.19999999999999996,0.7999999999999998
