abs_angle,A_mean,A_ci_low,A_ci_high,B_mean,B_ci_low,B_ci_high,C_mean,C_ci_low,C_ci_high
0,0.00025083328364416957,4.632866694009863e-05,0.000492551364004612,0.976580798625946,0.9601873755455017,0.9906322956085205,0.013635623268783092,0.012055979110300541,0.01528362836688757
1,4.476155757904053,4.296452522277832,4.664785861968994,0.9918032884597778,0.9853337407112122,0.9976580739021301,0.014466301538050175,0.012900065630674362,0.01587037928402424
2,6.144227027893066,5.938417434692383,6.3617682456970215,0.9941452145576477,0.9882903695106506,0.9988290667533875,0.01479149330407381,0.013412590138614178,0.016492588445544243
3,7.627801418304443,7.44573450088501,7.811188697814941,0.9953161478042603,0.9882903695106506,1.0,0.014938117936253548,0.013503541238605976,0.016493910923600197
4,9.106820106506348,8.921697616577148,9.314908027648926,0.9953161478042603,0.9882903695106506,1.0,0.014730958268046379,0.013284459710121155,0.016156889498233795
5,10.616425514221191,10.397716522216797,10.85580825805664,0.9941452145576477,0.9859485030174255,1.0,0.014091133140027523,0.012649030424654484,0.015551820397377014
6,11.877486228942871,11.614681243896484,12.119428634643555,0.9730679392814636,0.9601873755455017,0.9836065769195557,0.013269090093672276,0.011833441443741322,0.014703375287353992
7,13.077902793884277,12.805363655090332,13.358904838562012,0.9531615972518921,0.9367681741714478,0.966042160987854,0.01234595850110054,0.01096434984356165,0.013926300220191479
8,14.194326400756836,13.891067504882812,14.489663124084473,0.9285714030265808,0.908665120601654,0.9473068118095398,0.011346720159053802,0.010019349865615368,0.01277569867670536
9,15.33520793914795,15.00218391418457,15.619861602783203,0.8711943626403809,0.8424765467643738,0.8975702524185181,0.010469014756381512,0.00915435142815113,0.011669578030705452
10,16.652206420898438,16.337783813476562,16.976869583129883,0.8290398120880127,0.8014929890632629,0.8577576279640198,0.009638955816626549,0.008322146721184254,0.011028237640857697
11,18.17460823059082,17.826614379882812,18.543081283569336,0.7763466238975525,0.7400468587875366,0.8067915439605713,0.008859559893608093,0.00726234121248126,0.010176979005336761
12,19.467727661132812,19.103822708129883,19.850282669067383,0.7412177920341492,0.7072599530220032,0.7751756310462952,0.008121851831674576,0.006769056897610426,0.009614763781428337
13,20.89985466003418,20.48497772216797,21.31589698791504,0.6768149733543396,0.6399004459381104,0.7137295007705688,0.006884043104946613,0.005649209953844547,0.00834602303802967
14,22.07349967956543,21.66397476196289,22.448705673217773,0.6533957719802856,0.6159250736236572,0.6943793892860413,0.0059316824190318584,0.004639464896172285,0.0073237065225839615
15,23.046045303344727,22.618419647216797,23.440170288085938,0.6194379329681396,0.5766686201095581,0.6569086909294128,0.00498769897967577,0.003462617751210928,0.006509949453175068
16,24.198217391967773,23.703508377075195,24.657609939575195,0.5819672346115112,0.5403688549995422,0.6235655546188354,0.0037764967419207096,0.0023368671536445618,0.005267752334475517
17,25.30377197265625,24.746219635009766,25.791893005371094,0.5515222549438477,0.5122658014297485,0.5854800939559937,0.0024177918676286936,0.0006333320052362978,0.003983849193900824
18,26.459674835205078,25.893070220947266,26.976167678833008,0.49180328845977783,0.4560597240924835,0.531059741973877,0.0005620699957944453,-0.0010623770067468286,0.0022429677192121744
19,27.534963607788086,27.05697250366211,28.08292007446289,0.47072598338127136,0.4302985966205597,0.5111533999443054,-0.0005959197296760976,-0.0021385853178799152,0.0011677646543830633
20,28.557756423950195,27.999425888061523,29.21366310119629,0.4449648857116699,0.40163934230804443,0.4847775101661682,-0.0019230295438319445,-0.0038361840415745974,4.365109634818509e-05
21,29.788257598876953,29.248485565185547,30.317184448242188,0.40515223145484924,0.3688524663448334,0.443793922662735,-0.0035341919865459204,-0.005405573174357414,-0.0018848769832402468
22,31.00084686279297,30.44691276550293,31.577068328857422,0.37470725178718567,0.3360655605792999,0.41451990604400635,-0.005276188254356384,-0.007129418198019266,-0.003109588986262679
23,32.2700080871582,31.730003356933594,32.82589340209961,0.33957844972610474,0.30210772156715393,0.37883490324020386,-0.0072235846891999245,-0.009359793737530708,-0.005431080237030983
