folder,gender,expression,A_left_angle,A_left_abs_angle,A_right_angle,A_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_left_integrated_drift_deg,A_right_integrated_drift_deg,A_left_integrated_1_minus_cos,A_right_integrated_1_minus_cos,B_left_consistency_AUC,B_right_consistency_AUC,C_left_margin_AUC,C_right_margin_AUC,A_leads_B_left,C_leads_B_left,B_minus_A_left,B_minus_C_left,A_leads_B_right,C_leads_B_right,B_minus_A_right,B_minus_C_right
Female_+10,Female,+10,-8.0,8.0,6.0,6.0,-62.0,62.0,58.0,58.0,-30.0,30.0,55.0,55.0,-62.0,62.0,58.0,58.0,36.223952340188426,36.59496082769376,0.21499174443360802,0.21856909544668465,0.5373831775700935,0.5186915887850467,-0.011536161476206556,-0.017216424797182887,1.0,1.0,54.0,32.0,1.0,1.0,52.0,3.0
Female_+20,Female,+20,-6.0,6.0,5.0,5.0,-14.0,14.0,21.0,21.0,-12.0,12.0,14.0,14.0,-14.0,14.0,21.0,21.0,39.143005366637325,38.883647339366306,0.24384456093066206,0.24011257262987512,0.13551401869158877,0.1822429906542056,-0.020211802464779292,-0.02260435825196382,1.0,1.0,8.0,2.0,1.0,1.0,16.0,7.0
Female_+20_ZMouth Open Horizontal And Vertical,Female,+20_ZMouth Open Horizontal And Vertical,-11.0,11.0,8.0,8.0,-37.0,37.0,39.0,39.0,-36.0,36.0,39.0,39.0,-37.0,37.0,39.0,39.0,38.0536449378896,40.6672165728061,0.249097872281743,0.28455539228760196,0.3317757009345794,0.3598130841121495,-0.06856944307545636,-0.06253764952454612,1.0,1.0,26.0,1.0,1.0,0.0,31.0,0.0
Female_+30,Female,+30,-8.0,8.0,7.0,7.0,-69.0,69.0,72.0,72.0,-61.0,61.0,49.0,49.0,-69.0,69.0,72.0,72.0,36.24614293775826,35.84331991070899,0.21217905750898558,0.20663594921058584,0.6869158878504673,0.6495327102803738,0.0016603873711880123,-0.0039396603530812485,1.0,1.0,61.0,8.0,1.0,1.0,65.0,23.0
Female_+40,Female,+40,-8.0,8.0,5.0,5.0,-69.0,69.0,75.0,75.0,-69.0,69.0,75.0,75.0,-69.0,69.0,75.0,75.0,37.479397526411255,37.12895775732593,0.22768558882107245,0.22294114070517995,0.7710280373831776,0.7242990654205608,0.004495459460766516,0.0029417242959280995,1.0,0.0,61.0,0.0,1.0,0.0,70.0,0.0
Female_+50,Female,+50,-7.0,7.0,5.0,5.0,-26.0,26.0,22.0,22.0,-26.0,26.0,22.0,22.0,-26.0,26.0,22.0,22.0,40.964913158773264,40.608618005413874,0.2712492605793142,0.26604624997789617,0.46261682242990654,0.37850467289719625,-0.010836648049755631,-0.01491537314152049,1.0,0.0,19.0,0.0,1.0,0.0,17.0,0.0
Female_+50_ZMouth Open Horizontal And Vertical,Female,+50_ZMouth Open Horizontal And Vertical,-8.0,8.0,6.0,6.0,-68.0,68.0,69.0,69.0,-68.0,68.0,69.0,69.0,-68.0,68.0,69.0,69.0,39.775426762126315,40.3870719793801,0.275382372263436,0.2818929213229741,0.6214953271028038,0.6869158878504673,-0.01405351163349419,-0.0011526348991928814,1.0,0.0,60.0,0.0,1.0,0.0,63.0,0.0
Female_-10,Female,-10,-8.0,8.0,7.0,7.0,-20.0,20.0,20.0,20.0,-20.0,20.0,20.0,20.0,-20.0,20.0,20.0,20.0,41.237881874369684,40.81459125625753,0.2712723882955925,0.2631464249619814,0.1822429906542056,0.1822429906542056,-0.05066680741087298,-0.04162006762540229,1.0,0.0,12.0,0.0,1.0,0.0,13.0,0.0
Female_-10_ZMouth Open Horizontal And Vertical,Female,-10_ZMouth Open Horizontal And Vertical,-7.0,7.0,7.0,7.0,-22.0,22.0,25.0,25.0,-22.0,22.0,25.0,25.0,-22.0,22.0,25.0,25.0,40.39417089925748,43.790923546407825,0.27307852294957524,0.31770973868459185,0.20093457943925233,0.22897196261682243,-0.0932837822169901,-0.09475827941270633,1.0,0.0,15.0,0.0,1.0,0.0,18.0,0.0
Female_-20,Female,-20,-8.0,8.0,5.0,5.0,-14.0,14.0,13.0,13.0,-13.0,13.0,13.0,13.0,-14.0,14.0,13.0,13.0,42.76856073932113,42.42159548429685,0.2889464926496844,0.28080660550393793,0.1261682242990654,0.11682242990654206,-0.04724285619281163,-0.04577769130189842,1.0,1.0,6.0,1.0,1.0,0.0,8.0,0.0
Female_-20_ZMouth Open Horizontal And Vertical,Female,-20_ZMouth Open Horizontal And Vertical,-8.0,8.0,8.0,8.0,-35.0,35.0,36.0,36.0,-34.0,34.0,35.0,35.0,-35.0,35.0,36.0,36.0,42.46981613658299,46.58618202833372,0.29933143219101094,0.35421937425559924,0.3317757009345794,0.3317757009345794,-0.06817815069840333,-0.08443963471974168,1.0,1.0,27.0,1.0,1.0,1.0,28.0,1.0
Female_-30,Female,-30,-7.0,7.0,6.0,6.0,-59.0,59.0,59.0,59.0,-56.0,56.0,58.0,58.0,-59.0,59.0,59.0,59.0,38.63655274827904,38.190257491352405,0.2374828722432395,0.2329512157729853,0.5467289719626168,0.5467289719626168,0.0030791096598188454,0.0019666521905738615,1.0,1.0,52.0,3.0,1.0,1.0,53.0,1.0
Female_-40,Female,-40,-10.0,10.0,12.0,12.0,-74.0,74.0,71.0,71.0,-74.0,74.0,71.0,71.0,-74.0,74.0,71.0,71.0,36.65325714940223,36.865742509610186,0.2188714650746818,0.2228603847673006,0.7242990654205608,0.6308411214953271,0.004179797718458086,0.00033952281853863014,1.0,0.0,64.0,0.0,1.0,0.0,59.0,0.0
Female_-50,Female,-50,-8.0,8.0,5.0,5.0,-18.0,18.0,16.0,16.0,-18.0,18.0,16.0,16.0,-18.0,18.0,16.0,16.0,37.99171721823862,38.645103735344435,0.2309139827701533,0.23832078904749077,0.26635514018691586,0.26635514018691586,-0.015564340715096376,-0.01510329196386248,1.0,0.0,10.0,0.0,1.0,0.0,11.0,0.0
