abs_angle,A_mean_drift_deg,A_median_drift_deg,A_mean_1_minus_cos,B_accuracy,C_mean_margin,C_median_margin,N
0.0,0.00025083328787001846,0.0,8.375359921600556e-10,0.9765807962529274,0.013635623231704676,0.009461939334869385,427
1.0,4.476156066396476,3.7819602489471436,0.0041492884974289835,0.9918032786885246,0.014466300851008931,0.010047107934951782,427
2.0,6.1442270602777915,5.655980348587036,0.006761926747596794,0.9941451990632318,0.014791493882060889,0.010468661785125732,427
3.0,7.627802195258665,7.350469350814819,0.009817425065632447,0.9953161592505855,0.014938117399707053,0.010592937469482422,427
4.0,9.106819652143072,9.026607990264893,0.013642203682200411,0.9953161592505855,0.01473095887438754,0.010670840740203857,427
5.0,10.616425335546847,10.65648603439331,0.018300266120696237,0.9941451990632318,0.014091132535867445,0.00996619462966919,427
6.0,11.877485804032945,11.829572200775146,0.022835357755911154,0.9730679156908665,0.01326909026161569,0.009215593338012695,427
7.0,13.077903641191522,13.126155853271484,0.027569808083339933,0.9531615925058547,0.012345958998387535,0.00837177038192749,427
8.0,14.194326361113466,14.252632141113281,0.03241821551211266,0.9285714285714286,0.01134672007181047,0.007913291454315186,427
9.0,15.335208087670999,15.260100841522217,0.03772051105454599,0.8711943793911007,0.010469014666957096,0.006916701793670654,427
10.0,16.65220635557063,16.73734474182129,0.04437732354539339,0.8290398126463701,0.009638955777367049,0.006473183631896973,427
11.0,18.17460790004328,18.423952102661133,0.05267775519391134,0.7763466042154566,0.008859560137889425,0.0055724382400512695,427
12.0,19.467726862681833,19.390625,0.06016080105890993,0.7412177985948478,0.00812185208468024,0.004923492670059204,427
13.0,20.899855093877825,20.872767448425293,0.06902917989243948,0.6768149882903981,0.006884043752728357,0.004111111164093018,427
14.0,22.07349986605678,22.058265686035156,0.07678009580114128,0.6533957845433255,0.00593168241357915,0.0031530261039733887,427
15.0,23.04604545354285,23.170122146606445,0.08351140774664331,0.6194379391100703,0.004987698667780856,0.002695620059967041,427
16.0,24.198217946974957,24.08584499359131,0.09203062829424123,0.5819672131147541,0.003776496690665252,0.0019557178020477295,427
17.0,25.30377093634505,24.95425796508789,0.10061796089804424,0.5515222482435597,0.002417791783111715,0.0009967386722564697,427
18.0,26.4596750311885,25.90393829345703,0.1100662311569589,0.4918032786885246,0.0005620700553652832,-0.0002321302890777588,427
19.0,27.5349646831843,26.935766220092773,0.11885882959432847,0.4707259953161593,-0.000595919491256428,-0.0007987022399902344,427
20.0,28.557757325138923,28.261399269104004,0.12730671831818877,0.4449648711943794,-0.0019230296098097146,-0.0020075440406799316,427
21.0,29.788258992536843,29.83904457092285,0.13772640567473562,0.405152224824356,-0.0035341920143547325,-0.0034512579441070557,427
22.0,31.000844935343473,31.329814910888672,0.148362863538416,0.3747072599531616,-0.005276187661101723,-0.004360020160675049,427
23.0,32.270004734780805,32.84728240966797,0.16000335110434324,0.3395784543325527,-0.007223584822246006,-0.006254106760025024,427
24.0,33.35207946518266,34.13118362426758,0.16996654107364056,0.3161592505854801,-0.008949710837013548,-0.0076790452003479,427
25.0,34.00816923003007,34.89018630981445,0.17602551255628152,0.30327868852459017,-0.009715997223552552,-0.008549422025680542,427
26.0,34.45219333389604,35.46282958984375,0.17990016420775332,0.3044496487119438,-0.009648098948409463,-0.00878053903579712,427
27.0,35.42006695410128,36.179039001464844,0.18979898388268518,0.2810304449648712,-0.010766110389517398,-0.010333240032196045,427
28.0,35.96363268412248,36.65453910827637,0.1952482445876548,0.2681498829039813,-0.011194315950541083,-0.010581821203231812,427
29.0,36.52645233475911,37.06839370727539,0.20102947398985296,0.26229508196721313,-0.011304739766712769,-0.011023402214050293,427
30.0,37.16102273346948,37.85723686218262,0.2074976208896771,0.2423887587822014,-0.012034359665050998,-0.011379897594451904,427
31.0,37.58098911178196,38.126298904418945,0.21140582709457612,0.23185011709601874,-0.012332254187563823,-0.012046247720718384,427
32.0,37.940131989240086,38.49069404602051,0.21456532867786757,0.2306791569086651,-0.012893867087866719,-0.012561202049255371,427
33.0,38.38253729684012,38.945377349853516,0.21893294473163416,0.22716627634660422,-0.013502001762390137,-0.013474643230438232,427
34.0,38.719947919912585,39.13225555419922,0.22259441346139483,0.2107728337236534,-0.014350484629146388,-0.014470905065536499,427
35.0,38.908457834212506,39.16976737976074,0.22471120911683076,0.20843091334894615,-0.014649220665947336,-0.014511704444885254,427
36.0,39.36248042041859,39.62480545043945,0.22973391385770794,0.202576112412178,-0.015353033916732466,-0.01556512713432312,427
37.0,39.81671754314414,39.96748924255371,0.23489205179784,0.19672131147540983,-0.01587583477100667,-0.016476541757583618,427
38.0,40.03055417509771,40.06430244445801,0.23718415706721624,0.20140515222482436,-0.015268392459570105,-0.01591351628303528,427
39.0,40.64575474491164,40.21981239318848,0.244572784917416,0.19437939110070257,-0.016612936378362867,-0.01774907112121582,427
40.0,41.59025186230483,40.94956970214844,0.2562136181065294,0.18618266978922718,-0.01858786558099876,-0.01873677968978882,427
41.0,41.83105817835001,41.46259880065918,0.2589954287162709,0.1756440281030445,-0.01880575252360985,-0.018756568431854248,427
42.0,42.32069520257954,42.186872482299805,0.2646732680691489,0.15690866510538642,-0.020123748854675116,-0.02023276686668396,427
43.0,42.950153330729215,42.501760482788086,0.27271063147719066,0.1592505854800937,-0.021539376826141144,-0.021542757749557495,427
44.0,43.34137260160067,43.01819038391113,0.27758595598665275,0.15456674473067916,-0.02232558707721898,-0.02112102508544922,427
45.0,43.77281917509485,43.62079429626465,0.28274458716568956,0.14168618266978922,-0.022895531925161215,-0.02242755889892578,427
46.0,44.23323615652616,44.37216567993164,0.28833520335670937,0.1358313817330211,-0.02399142725127084,-0.02394235134124756,427
47.0,44.71869048134225,44.651777267456055,0.29427197261493154,0.12763466042154567,-0.025456331792424937,-0.025878489017486572,427
48.0,45.06871861540461,45.20490074157715,0.29829191044845405,0.1323185011709602,-0.026179765998898402,-0.026791125535964966,427
49.0,45.32187477040347,45.520517349243164,0.3014382756984764,0.1288056206088993,-0.026370154680636224,-0.027502626180648804,427
50.0,45.55034536053481,45.517425537109375,0.303969570289451,0.11943793911007025,-0.026717843858642936,-0.02770748734474182,427
51.0,45.829674629193555,46.1993522644043,0.30725714696933293,0.12763466042154567,-0.02718596422141832,-0.028405845165252686,427
52.0,46.03331000799317,46.78635787963867,0.3096260404000517,0.11124121779859485,-0.027640904070901088,-0.028524935245513916,427
53.0,45.898116708081,46.86052322387695,0.30754495113739083,0.11943793911007025,-0.02721867705117344,-0.027354180812835693,427
54.0,46.36024002057328,47.254432678222656,0.3135173867960445,0.11826697892271663,-0.028578138323522562,-0.02822539210319519,427
55.0,46.6733209936066,47.29939079284668,0.3176649857739933,0.12060889929742388,-0.028894748076342867,-0.029611825942993164,427
56.0,46.7589454807219,47.39882850646973,0.31812799521296586,0.12177985948477751,-0.028040674377660283,-0.02912876009941101,427
57.0,47.14577579498291,47.64694404602051,0.32307885946657955,0.10889929742388758,-0.028227235031351272,-0.029074490070343018,427
58.0,47.269369181201945,47.46065139770508,0.32456173641341074,0.11241217798594848,-0.02806598541329002,-0.02897384762763977,427
59.0,47.75470808685803,48.0593318939209,0.3309848503290351,0.10304449648711944,-0.02938131796113222,-0.030137300491333008,427
