metric,n_sequences,observed_median,ci_low_95,ci_high_95
A_cosine_left_abs_angle,427,8.0,7.0,8.0
A_cosine_right_abs_angle,427,8.0,8.0,9.0
A_angular_left_abs_angle,427,8.0,7.0,8.0
A_angular_right_abs_angle,427,8.0,8.0,9.0
A_euclidean_left_abs_angle,427,8.0,7.0,8.0
A_euclidean_right_abs_angle,427,8.0,8.0,9.0
A_path_left_abs_angle,427,6.0,6.0,6.0
A_path_right_abs_angle,427,7.0,7.0,7.0
A_rate_left_abs_angle,419,77.0,72.0,79.0
A_rate_right_abs_angle,423,52.0,49.0,54.0
A_curvature_right_abs_angle,44,0.0,0.0,1.0
A_instability_left_abs_angle,413,79.0,78.0,81.0
A_instability_right_abs_angle,417,54.0,53.0,55.0
C_left_abs_angle,426,15.0,13.0,16.0
C_right_abs_angle,426,17.0,15.0,18.5
B_left_abs_angle,426,18.0,16.0,19.0
B_right_abs_angle,426,20.0,18.0,21.0
C_hard_left_abs_angle,426,18.0,16.0,19.0
C_hard_right_abs_angle,426,20.0,18.0,21.0
