folder,gender,expression,A_cosine_left_angle,A_cosine_left_abs_angle,A_cosine_right_angle,A_cosine_right_abs_angle,A_angular_left_angle,A_angular_left_abs_angle,A_angular_right_angle,A_angular_right_abs_angle,A_euclidean_left_angle,A_euclidean_left_abs_angle,A_euclidean_right_angle,A_euclidean_right_abs_angle,A_path_left_angle,A_path_left_abs_angle,A_path_right_angle,A_path_right_abs_angle,A_rate_left_angle,A_rate_left_abs_angle,A_rate_right_angle,A_rate_right_abs_angle,A_curvature_left_angle,A_curvature_left_abs_angle,A_curvature_right_angle,A_curvature_right_abs_angle,A_instability_left_angle,A_instability_left_abs_angle,A_instability_right_angle,A_instability_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_cosine_distance_AUC_left,A_angular_distance_deg_AUC_left,A_euclidean_distance_AUC_left,A_cumulative_path_from_V107_AUC_left,A_rate_per_degree_AUC_left,A_curvature_AUC_left,A_trajectory_instability_AUC_left,C_margin_AUC_left,B_correct_AUC_left,A_cosine_distance_AUC_right,A_angular_distance_deg_AUC_right,A_euclidean_distance_AUC_right,A_cumulative_path_from_V107_AUC_right,A_rate_per_degree_AUC_right,A_curvature_AUC_right,A_trajectory_instability_AUC_right,C_margin_AUC_right,B_correct_AUC_right,A_cosine_leads_B_left,B_minus_A_cosine_left,A_angular_leads_B_left,B_minus_A_angular_left,A_euclidean_leads_B_left,B_minus_A_euclidean_left,A_path_leads_B_left,B_minus_A_path_left,A_rate_leads_B_left,B_minus_A_rate_left,A_curvature_leads_B_left,B_minus_A_curvature_left,A_instability_leads_B_left,B_minus_A_instability_left,C_leads_B_left,B_minus_C_left,A_cosine_leads_B_right,B_minus_A_cosine_right,A_angular_leads_B_right,B_minus_A_angular_right,A_euclidean_leads_B_right,B_minus_A_euclidean_right,A_path_leads_B_right,B_minus_A_path_right,A_rate_leads_B_right,B_minus_A_rate_right,A_curvature_leads_B_right,B_minus_A_curvature_right,A_instability_leads_B_right,B_minus_A_instability_right,C_leads_B_right,B_minus_C_right
Female_+10,Female,+10,-8.0,8.0,6.0,6.0,-8.0,8.0,6.0,6.0,-8.0,8.0,6.0,6.0,-6.0,6.0,5.0,5.0,-65.0,65.0,92.0,92.0,,,,,-79.0,79.0,97.0,97.0,-30.0,30.0,55.0,55.0,-62.0,62.0,58.0,58.0,-62.0,62.0,58.0,58.0,0.21499174443360802,36.223952340188426,0.6179343194605034,4.2268232207431975,0.0879884929800371,18.728696972935044,0.12697223180307532,-0.011536176795157317,0.5373831775700935,0.21856909544668465,36.59496082769376,0.6237909660161098,4.249921228301441,0.08621810136415134,18.777635554236454,0.1203518826865925,-0.017216438166449004,0.5186915887850467,1.0,54.0,1.0,54.0,1.0,54.0,1.0,56.0,0.0,-3.0,,,0.0,-17.0,1.0,32.0,1.0,52.0,1.0,52.0,1.0,52.0,1.0,53.0,0.0,-34.0,,,0.0,-39.0,1.0,3.0
Female_+20,Female,+20,-6.0,6.0,5.0,5.0,-6.0,6.0,5.0,5.0,-6.0,6.0,5.0,5.0,-6.0,6.0,5.0,5.0,-91.0,91.0,95.0,95.0,,,,,-79.0,79.0,79.0,79.0,-12.0,12.0,14.0,14.0,-14.0,14.0,21.0,21.0,-14.0,14.0,21.0,21.0,0.2438445787563502,39.143007550284125,0.6662899929790976,4.334278890271192,0.09341830528288517,17.41605686885433,0.1291226715833511,-0.020211785753196643,0.13551401869158877,0.24011259324082704,38.88364942497182,0.6619260607065565,4.237510126954485,0.08762286767085022,18.951352026815172,0.12459142801334273,-0.02260434961764612,0.1822429906542056,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,0.0,-77.0,,,0.0,-65.0,1.0,2.0,1.0,16.0,1.0,16.0,1.0,16.0,1.0,16.0,0.0,-74.0,,,0.0,-58.0,1.0,7.0
Female_+20_ZMouth Open Horizontal And Vertical,Female,+20_ZMouth Open Horizontal And Vertical,-11.0,11.0,8.0,8.0,-11.0,11.0,8.0,8.0,-11.0,11.0,8.0,8.0,-6.0,6.0,6.0,6.0,-77.0,77.0,64.0,64.0,,,,,,,77.0,77.0,-36.0,36.0,39.0,39.0,-37.0,37.0,39.0,39.0,-37.0,37.0,39.0,39.0,0.249097872281743,38.0536449378896,0.6441486251549186,4.33114893031176,0.09300255501326525,17.68461641002138,0.1268214004219703,-0.06856944920303666,0.3317757009345794,0.28455539228760196,40.6672165728061,0.6846319571415954,4.865849932464205,0.1000353868737399,16.475597356519295,0.14173793139041596,-0.0625376484104406,0.3598130841121495,1.0,26.0,1.0,26.0,1.0,26.0,1.0,31.0,0.0,-40.0,,,,,1.0,1.0,1.0,31.0,1.0,31.0,1.0,31.0,1.0,33.0,0.0,-25.0,,,0.0,-38.0,0.0,0.0
Female_+30,Female,+30,-8.0,8.0,7.0,7.0,-8.0,8.0,7.0,7.0,-8.0,8.0,7.0,7.0,-7.0,7.0,5.0,5.0,-104.0,104.0,97.0,97.0,,,,,,,,,-61.0,61.0,49.0,49.0,-69.0,69.0,72.0,72.0,-69.0,69.0,72.0,72.0,0.21217905750898558,36.24614293775826,0.6189344559456701,4.371411510160036,0.08828498029483939,18.00887368455044,0.12350149923619234,0.0016604149452993803,0.6869158878504673,0.20663594921058584,35.84331991070899,0.612297366712695,4.25288588463146,0.08526287012011091,18.88156427775297,0.11959388570965461,-0.003939635564233655,0.6495327102803738,1.0,61.0,1.0,61.0,1.0,61.0,1.0,62.0,0.0,-35.0,,,,,1.0,8.0,1.0,65.0,1.0,65.0,1.0,65.0,1.0,67.0,0.0,-25.0,,,,,1.0,23.0
Female_+40,Female,+40,-8.0,8.0,5.0,5.0,-8.0,8.0,5.0,5.0,-8.0,8.0,5.0,5.0,-6.0,6.0,5.0,5.0,-35.0,35.0,70.0,70.0,,,,,-68.0,68.0,85.0,85.0,-69.0,69.0,75.0,75.0,-69.0,69.0,75.0,75.0,-69.0,69.0,75.0,75.0,0.22768558882107245,37.479397526411255,0.6387006928360908,4.857828428307287,0.10287092438073091,16.70181058596794,0.14764888359690612,0.004495456954029119,0.7710280373831776,0.22294114070517995,37.12895775732593,0.6329145275543784,4.781697125060954,0.10216717507307217,16.43225237190712,0.1443440649166422,0.0029417245744544768,0.7242990654205608,1.0,61.0,1.0,61.0,1.0,61.0,1.0,63.0,1.0,34.0,,,1.0,1.0,0.0,0.0,1.0,70.0,1.0,70.0,1.0,70.0,1.0,70.0,1.0,5.0,,,0.0,-10.0,0.0,0.0
Female_+50,Female,+50,-7.0,7.0,5.0,5.0,-7.0,7.0,5.0,5.0,-7.0,7.0,5.0,5.0,-6.0,6.0,5.0,5.0,-33.0,33.0,31.0,31.0,,,,,-35.0,35.0,33.0,33.0,-26.0,26.0,22.0,22.0,-26.0,26.0,22.0,22.0,-26.0,26.0,22.0,22.0,0.27124919568266825,40.96490480743836,0.694085335123031,5.409875419513088,0.1288531305584705,14.67197893473694,0.18332368037048377,-0.010836670610392205,0.46261682242990654,0.2660461976149372,40.60861279140009,0.6883611159529018,5.492820628335543,0.13076651315683516,14.797587311637313,0.18886539340019226,-0.014915397094788953,0.37850467289719625,1.0,19.0,1.0,19.0,1.0,19.0,1.0,20.0,0.0,-7.0,,,0.0,-9.0,0.0,0.0,1.0,17.0,1.0,17.0,1.0,17.0,1.0,17.0,0.0,-9.0,,,0.0,-11.0,0.0,0.0
Female_+50_ZMouth Open Horizontal And Vertical,Female,+50_ZMouth Open Horizontal And Vertical,-8.0,8.0,6.0,6.0,-8.0,8.0,6.0,6.0,-8.0,8.0,6.0,6.0,-5.0,5.0,5.0,5.0,-36.0,36.0,9.0,9.0,,,,,-54.0,54.0,17.0,17.0,-68.0,68.0,69.0,69.0,-68.0,68.0,69.0,69.0,-68.0,68.0,69.0,69.0,0.275382372263436,39.775426762126315,0.6681554367609113,5.835829077166653,0.1401503251268054,13.743295768797477,0.2010396696486563,-0.014053502999176489,0.6214953271028038,0.2818929213229741,40.3870719793801,0.6780190662106621,5.922690581948122,0.13752664256597233,13.596705910018137,0.1981504333890834,-0.001152618187610234,0.6869158878504673,1.0,60.0,1.0,60.0,1.0,60.0,1.0,63.0,1.0,32.0,,,1.0,14.0,0.0,0.0,1.0,63.0,1.0,63.0,1.0,63.0,1.0,64.0,1.0,60.0,,,1.0,52.0,0.0,0.0
Female_-10,Female,-10,-8.0,8.0,7.0,7.0,-8.0,8.0,7.0,7.0,-8.0,8.0,7.0,7.0,-7.0,7.0,5.0,5.0,-63.0,63.0,50.0,50.0,,,,,-71.0,71.0,66.0,66.0,-20.0,20.0,20.0,20.0,-20.0,20.0,20.0,20.0,-20.0,20.0,20.0,20.0,0.2712723284124214,41.237873465101295,0.6999639962651965,4.392600603001279,0.09291076976454483,17.29424702740366,0.12935400227049612,-0.050666803511503704,0.1822429906542056,0.26314635477333426,40.8145830207896,0.693458680507396,4.791087375466373,0.09863123666738795,16.570644330817217,0.1399727479185698,-0.041620060940769234,0.1822429906542056,1.0,12.0,1.0,12.0,1.0,12.0,1.0,13.0,0.0,-43.0,,,0.0,-51.0,0.0,0.0,1.0,13.0,1.0,13.0,1.0,13.0,1.0,15.0,0.0,-30.0,,,0.0,-46.0,0.0,0.0
Female_-10_ZMouth Open Horizontal And Vertical,Female,-10_ZMouth Open Horizontal And Vertical,-7.0,7.0,7.0,7.0,-7.0,7.0,7.0,7.0,-7.0,7.0,7.0,7.0,-6.0,6.0,5.0,5.0,-75.0,75.0,69.0,69.0,,,,,-53.0,53.0,54.0,54.0,-22.0,22.0,25.0,25.0,-22.0,22.0,25.0,25.0,-22.0,22.0,25.0,25.0,0.27307852294957524,40.39417089925748,0.6827540600968298,4.643563972994964,0.09911049698602478,16.506332220035993,0.13950484871583166,-0.09328377943172633,0.20093457943925233,0.31770973868459185,43.790923546407825,0.7357365745946626,5.000044828959715,0.10460597997374624,15.921170036699833,0.14957368247351557,-0.0947582635367028,0.22897196261682243,1.0,15.0,1.0,15.0,1.0,15.0,1.0,16.0,0.0,-53.0,,,0.0,-31.0,0.0,0.0,1.0,18.0,1.0,18.0,1.0,18.0,1.0,20.0,0.0,-44.0,,,0.0,-29.0,0.0,0.0
Female_-20,Female,-20,-8.0,8.0,5.0,5.0,-8.0,8.0,5.0,5.0,-8.0,8.0,5.0,5.0,-6.0,6.0,5.0,5.0,-93.0,93.0,44.0,44.0,,,,,-79.0,79.0,60.0,60.0,-13.0,13.0,13.0,13.0,-14.0,14.0,13.0,13.0,-14.0,14.0,13.0,13.0,0.2889464926496844,42.76856073932113,0.7246941587774554,4.370860405892969,0.09042810708424955,17.35925714364742,0.12454270336003799,-0.04724287234734152,0.1261682242990654,0.28080660550393793,42.42159548429685,0.7196895214163255,4.929592775650949,0.10065824242535039,17.09788108087872,0.14781517486246126,-0.04577770077179526,0.11682242990654206,1.0,6.0,1.0,6.0,1.0,6.0,1.0,8.0,0.0,-79.0,,,0.0,-65.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,0.0,-31.0,,,0.0,-47.0,0.0,0.0
