expression,folder,n_rows,n_viewpoints,complete_215,A_cosine_left,A_cosine_right,A_cosine_detected_left,A_cosine_detected_right,A_angular_left,A_angular_right,A_angular_detected_left,A_angular_detected_right,A_euclidean_left,A_euclidean_right,A_euclidean_detected_left,A_euclidean_detected_right,A_path_left,A_path_right,A_path_detected_left,A_path_detected_right,A_rate_left,A_rate_right,A_rate_detected_left,A_rate_detected_right,A_curvature_left,A_curvature_right,A_curvature_detected_left,A_curvature_detected_right,A_instability_left,A_instability_right,A_instability_detected_left,A_instability_detected_right,C_left,C_right,C_detected_left,C_detected_right,B_left,B_right,B_detected_left,B_detected_right,missing_left,missing_right,left_ordering,right_ordering
+10,Female_+10,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,213.0,2.0,True,True,,,False,False,213.0,26.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
+20,Female_+20,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,211.0,1.0,True,True,,,False,False,212.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
+20_ZMouth Open Horizontal And Vertical,Female_+20_ZMouth Open Horizontal And Vertical,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,184.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
+30,Female_+30,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,212.0,1.0,True,True,,,False,False,,,False,False,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
+40,Female_+40,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
+50,Female_+50,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
+50_ZMouth Open Horizontal And Vertical,Female_+50_ZMouth Open Horizontal And Vertical,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-10,Female_-10,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,6.0,True,True,,,False,False,213.0,12.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-10_ZMouth Open Horizontal And Vertical,Female_-10_ZMouth Open Horizontal And Vertical,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,6.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-20,Female_-20,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,212.0,1.0,True,True,,,False,False,203.0,11.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-20_ZMouth Open Horizontal And Vertical,Female_-20_ZMouth Open Horizontal And Vertical,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,156.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-30,Female_-30,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-40,Female_-40,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-50,Female_-50,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
-60,Female_-60,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,174.0,31.0,True,True,174.0,31.0,True,True,,,tie,tie
0,Female_0,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Angry,Female_Angry 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,212.0,1.0,True,True,,,False,False,212.0,12.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Angry,Female_Angry 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,2.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Angry,Female_Angry 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,14.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Angry,Female_Angry 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,213.0,1.0,True,True,,,False,False,211.0,9.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Angry,Female_Angry 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,2.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Anguish,Female_Anguish,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,8.0,True,True,,,False,False,212.0,8.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Animosity Growl,Female_Animosity Growl,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,6.0,1.0,True,True,,,False,False,185.0,29.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Animosity Rebellious,Female_Animosity Rebellious,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,212.0,1.0,True,True,,,False,False,,,False,False,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Bored,Female_Bored 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,213.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Bored,Female_Bored 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Bored,Female_Bored 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,206.0,2.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Bored,Female_Bored 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,209.0,1.0,True,True,,,False,False,209.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Bored,Female_Bored 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,213.0,1.0,True,True,,,False,False,207.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
