side,ordering,median,ci_2_5,ci_97_5,n_bootstrap
left,A<B<C,0.01639344262295082,0.00468384074941452,0.02810304449648712,500
left,A<C=B,0.00702576112412178,0.0,0.01639344262295082,500
left,A=B<C,0.02107728337236534,0.00936768149882904,0.0351288056206089,500
left,B<A<C,0.09133489461358314,0.06323185011709602,0.11943793911007025,500
left,B<A=C,0.06088992974238876,0.03981264637002342,0.08430913348946135,500
left,B<C<A,0.5292740046838408,0.48588992974238876,0.5737704918032787,500
left,C=B<A,0.26697892271662765,0.22716627634660422,0.3091334894613583,500
left,missing_C_B,0.00234192037470726,0.0,0.00702576112412178,500
left,tie_all,0.00468384074941452,0.0,0.0117096018735363,500
right,A<C<B,0.5011709601873536,0.45433255269320844,0.5539227166276346,500
right,A<C=B,0.2857142857142857,0.2459016393442623,0.32786885245901637,500
right,A=C<B,0.03747072599531616,0.02107728337236534,0.0574355971896955,500
right,C<A<B,0.06791569086651054,0.047950819672131155,0.09601873536299765,500
right,C<A=B,0.0351288056206089,0.01873536299765808,0.053864168618266976,500
right,C<B<A,0.053864168618266976,0.03044496487119438,0.07962529274004684,500
right,C=B<A,0.00234192037470726,0.0,0.00702576112412178,500
right,missing_C_B,0.00234192037470726,0.0,0.00702576112412178,500
right,tie_all,0.0117096018735363,0.00234192037470726,0.0234192037470726,500
