folder,expression,A_left,C_left,B_left,A_left_detected,C_left_detected,B_left_detected,ordering_left,A_to_C_gap_left,C_to_B_gap_left,A_to_B_gap_left,A_reason_left,C_reason_left,B_reason_left,A_right,C_right,B_right,A_right_detected,C_right_detected,B_right_detected,ordering_right,A_to_C_gap_right,C_to_B_gap_right,A_to_B_gap_right,A_reason_right,C_reason_right,B_reason_right
Female_+10,+10,99.0,77.0,45.0,True,True,True,B<C<A,22.0,32.0,54.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,162.0,165.0,True,True,True,A<C<B,49.0,3.0,52.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_+20,+20,101.0,95.0,93.0,True,True,True,B<C<A,6.0,2.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,121.0,128.0,True,True,True,A<C<B,9.0,7.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_+20_ZMouth Open Horizontal And Vertical,+20_ZMouth Open Horizontal And Vertical,96.0,71.0,70.0,True,True,True,B<C<A,25.0,1.0,26.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,146.0,146.0,True,True,True,A<C=B,31.0,0.0,31.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_+30,+30,99.0,46.0,38.0,True,True,True,B<C<A,53.0,8.0,61.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,156.0,179.0,True,True,True,A<C<B,42.0,23.0,65.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_+40,+40,99.0,38.0,38.0,True,True,True,C=B<A,61.0,0.0,61.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,182.0,182.0,True,True,True,A<C=B,70.0,0.0,70.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_+50,+50,100.0,81.0,81.0,True,True,True,C=B<A,19.0,0.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,129.0,129.0,True,True,True,A<C=B,17.0,0.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_+50_ZMouth Open Horizontal And Vertical,+50_ZMouth Open Horizontal And Vertical,99.0,39.0,39.0,True,True,True,C=B<A,60.0,0.0,60.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,176.0,176.0,True,True,True,A<C=B,63.0,0.0,63.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_-10,-10,99.0,87.0,87.0,True,True,True,C=B<A,12.0,0.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,127.0,127.0,True,True,True,A<C=B,13.0,0.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_-10_ZMouth Open Horizontal And Vertical,-10_ZMouth Open Horizontal And Vertical,100.0,85.0,85.0,True,True,True,C=B<A,15.0,0.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,132.0,132.0,True,True,True,A<C=B,18.0,0.0,18.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_-20,-20,99.0,94.0,93.0,True,True,True,B<C<A,5.0,1.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,120.0,120.0,True,True,True,A<C=B,8.0,0.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_-20_ZMouth Open Horizontal And Vertical,-20_ZMouth Open Horizontal And Vertical,99.0,73.0,72.0,True,True,True,B<C<A,26.0,1.0,27.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,142.0,143.0,True,True,True,A<C<B,27.0,1.0,28.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_-30,-30,100.0,51.0,48.0,True,True,True,B<C<A,49.0,3.0,52.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,165.0,166.0,True,True,True,A<C<B,52.0,1.0,53.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_-40,-40,97.0,33.0,33.0,True,True,True,C=B<A,64.0,0.0,64.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,178.0,178.0,True,True,True,A<C=B,59.0,0.0,59.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
