side,ordering,count,proportion
left,B<C<A,226,0.5292740046838408
left,C=B<A,114,0.26697892271662765
left,B<A<C,39,0.09133489461358314
left,B<A=C,26,0.06088992974238876
left,A=B<C,9,0.02107728337236534
left,A<B<C,7,0.01639344262295082
left,A<C=B,3,0.00702576112412178
left,tie_all,2,0.00468384074941452
left,missing_C_B,1,0.00234192037470726
right,A<C<B,214,0.5011709601873536
right,A<C=B,122,0.2857142857142857
right,C<A<B,30,0.0702576112412178
right,C<B<A,23,0.053864168618266976
right,A=C<B,16,0.03747072599531616
right,C<A=B,15,0.0351288056206089
right,tie_all,5,0.0117096018735363
right,C=B<A,1,0.00234192037470726
right,missing_C_B,1,0.00234192037470726
