side,horizon_degrees,n,A_before_B,A_early_warning_within_horizon
left,5,426,0.9507042253521126,0.24178403755868544
left,10,426,0.9507042253521126,0.4507042253521127
left,20,426,0.9507042253521126,0.7370892018779343
left,30,426,0.9507042253521126,0.8262910798122066
left,40,426,0.9507042253521126,0.863849765258216
left,60,426,0.9507042253521126,0.9154929577464789
right,5,426,0.8967136150234741,0.23708920187793428
right,10,426,0.8967136150234741,0.4225352112676056
right,20,426,0.8967136150234741,0.6596244131455399
right,30,426,0.8967136150234741,0.7535211267605634
right,40,426,0.8967136150234741,0.795774647887324
right,60,426,0.8967136150234741,0.8544600938967136
