expression,folder,A_left,C_left,B_left,A_right,C_right,B_right
+10,Female_+10,99.0,77.0,45.0,113.0,162.0,165.0
+20,Female_+20,101.0,95.0,93.0,112.0,121.0,128.0
+20_ZMouth Open Horizontal And Vertical,Female_+20_ZMouth Open Horizontal And Vertical,96.0,71.0,70.0,115.0,146.0,146.0
+30,Female_+30,99.0,46.0,38.0,114.0,156.0,179.0
+40,Female_+40,99.0,38.0,38.0,112.0,182.0,182.0
+50,Female_+50,100.0,81.0,81.0,112.0,129.0,129.0
+50_ZMouth Open Horizontal And Vertical,Female_+50_ZMouth Open Horizontal And Vertical,99.0,39.0,39.0,113.0,176.0,176.0
-10,Female_-10,99.0,87.0,87.0,114.0,127.0,127.0
-10_ZMouth Open Horizontal And Vertical,Female_-10_ZMouth Open Horizontal And Vertical,100.0,85.0,85.0,114.0,132.0,132.0
-20,Female_-20,99.0,94.0,93.0,112.0,120.0,120.0
-20_ZMouth Open Horizontal And Vertical,Female_-20_ZMouth Open Horizontal And Vertical,99.0,73.0,72.0,115.0,142.0,143.0
-30,Female_-30,100.0,51.0,48.0,113.0,165.0,166.0
-40,Female_-40,97.0,33.0,33.0,119.0,178.0,178.0
-50,Female_-50,99.0,89.0,89.0,112.0,123.0,123.0
-60,Female_-60,102.0,83.0,83.0,112.0,131.0,131.0
0,Female_0,98.0,77.0,77.0,112.0,138.0,138.0
Angry,Female_Angry 01,100.0,89.0,77.0,117.0,119.0,152.0
Angry,Female_Angry 02,96.0,101.0,38.0,120.0,135.0,136.0
Angry,Female_Angry 03,98.0,87.0,86.0,117.0,129.0,129.0
Angry,Female_Angry 04,99.0,94.0,93.0,114.0,121.0,126.0
Angry,Female_Angry 05,94.0,78.0,77.0,119.0,128.0,129.0
Anguish,Female_Anguish,100.0,96.0,95.0,114.0,119.0,135.0
Animosity Growl,Female_Animosity Growl,101.0,46.0,44.0,111.0,171.0,171.0
Animosity Rebellious,Female_Animosity Rebellious,100.0,82.0,78.0,113.0,136.0,136.0
Bored,Female_Bored 01,100.0,95.0,94.0,113.0,132.0,136.0
Bored,Female_Bored 02,99.0,94.0,94.0,115.0,121.0,138.0
Bored,Female_Bored 03,99.0,101.0,98.0,118.0,115.0,117.0
Bored,Female_Bored 04,97.0,87.0,86.0,119.0,130.0,138.0
Bored,Female_Bored 05,98.0,98.0,94.0,118.0,118.0,120.0
BreathTaking Over The Moon,Female_BreathTaking Over The Moon,98.0,49.0,43.0,112.0,171.0,193.0
Chewing,Female_Chewing,99.0,93.0,91.0,116.0,133.0,133.0
Choking,Female_Choking,97.0,91.0,84.0,117.0,124.0,124.0
Coughing,Female_Coughing,96.0,42.0,42.0,117.0,172.0,172.0
Crazed,Female_Crazed,98.0,76.0,76.0,115.0,166.0,166.0
Crying,Female_Crying,100.0,98.0,95.0,114.0,113.0,122.0
Cute,Female_Cute 01,98.0,92.0,90.0,118.0,137.0,137.0
Cute,Female_Cute 02,100.0,107.0,90.0,118.0,107.0,130.0
Cute,Female_Cute 03,99.0,92.0,90.0,118.0,127.0,128.0
Cute,Female_Cute 04,100.0,91.0,88.0,118.0,121.0,126.0
Cute,Female_Cute 05,97.0,96.0,95.0,118.0,118.0,119.0
Despise,Female_Despise 01,98.0,88.0,87.0,119.0,115.0,120.0
