A_quantile,A_threshold,C_quantile,C_threshold
0.8,56.98190078735352,0.025,-0.1855425477027893
0.8,56.98190078735352,0.05,-0.16355102062225338
0.8,56.98190078735352,0.075,-0.14460251331329343
0.8,56.98190078735352,0.1,-0.12703442573547363
0.8,56.98190078735352,0.15,-0.09367160797119138
0.8,56.98190078735352,0.2,-0.06931482553482053
0.85,58.89184494018555,0.025,-0.1855425477027893
0.85,58.89184494018555,0.05,-0.16355102062225338
0.85,58.89184494018555,0.075,-0.14460251331329343
0.85,58.89184494018555,0.1,-0.12703442573547363
0.85,58.89184494018555,0.15,-0.09367160797119138
0.85,58.89184494018555,0.2,-0.06931482553482053
0.9,61.0518798828125,0.025,-0.1855425477027893
0.9,61.0518798828125,0.05,-0.16355102062225338
0.9,61.0518798828125,0.075,-0.14460251331329343
0.9,61.0518798828125,0.1,-0.12703442573547363
0.9,61.0518798828125,0.15,-0.09367160797119138
0.9,61.0518798828125,0.2,-0.06931482553482053
0.925,62.22025108337402,0.025,-0.1855425477027893
0.925,62.22025108337402,0.05,-0.16355102062225338
0.925,62.22025108337402,0.075,-0.14460251331329343
0.925,62.22025108337402,0.1,-0.12703442573547363
0.925,62.22025108337402,0.15,-0.09367160797119138
0.925,62.22025108337402,0.2,-0.06931482553482053
0.95,63.46448211669922,0.025,-0.1855425477027893
0.95,63.46448211669922,0.05,-0.16355102062225338
0.95,63.46448211669922,0.075,-0.14460251331329343
0.95,63.46448211669922,0.1,-0.12703442573547363
0.95,63.46448211669922,0.15,-0.09367160797119138
0.95,63.46448211669922,0.2,-0.06931482553482053
0.975,65.15583877563476,0.025,-0.1855425477027893
0.975,65.15583877563476,0.05,-0.16355102062225338
0.975,65.15583877563476,0.075,-0.14460251331329343
0.975,65.15583877563476,0.1,-0.12703442573547363
0.975,65.15583877563476,0.15,-0.09367160797119138
0.975,65.15583877563476,0.2,-0.06931482553482053
