expression,left_A_distance,left_B_distance,left_lead,left_A_before_B,left_warning_1deg,left_warning_2deg,left_warning_3deg,left_warning_5deg,left_warning_7deg,left_warning_10deg,left_warning_15deg,left_warning_20deg,left_warning_25deg,left_warning_30deg,left_warning_40deg,left_warning_50deg,right_A_distance,right_B_distance,right_lead,right_A_before_B,right_warning_1deg,right_warning_2deg,right_warning_3deg,right_warning_5deg,right_warning_7deg,right_warning_10deg,right_warning_15deg,right_warning_20deg,right_warning_25deg,right_warning_30deg,right_warning_40deg,right_warning_50deg
+10,8.0,62.0,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,6.0,58.0,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True
+20,6.0,14.0,8.0,True,True,True,True,True,True,False,False,False,False,False,False,False,5.0,21.0,16.0,True,True,True,True,True,True,True,True,False,False,False,False,False
+20_ZMouth Open Horizontal And Vertical,11.0,37.0,26.0,True,True,True,True,True,True,True,True,True,True,False,False,False,8.0,39.0,31.0,True,True,True,True,True,True,True,True,True,True,True,False,False
+30,8.0,69.0,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,7.0,72.0,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True
+40,8.0,69.0,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,5.0,75.0,70.0,True,True,True,True,True,True,True,True,True,True,True,True,True
+50,7.0,26.0,19.0,True,True,True,True,True,True,True,True,False,False,False,False,False,5.0,22.0,17.0,True,True,True,True,True,True,True,True,False,False,False,False,False
+50_ZMouth Open Horizontal And Vertical,8.0,68.0,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,6.0,69.0,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True
-10,8.0,20.0,12.0,True,True,True,True,True,True,True,False,False,False,False,False,False,7.0,20.0,13.0,True,True,True,True,True,True,True,False,False,False,False,False,False
-10_ZMouth Open Horizontal And Vertical,7.0,22.0,15.0,True,True,True,True,True,True,True,True,False,False,False,False,False,7.0,25.0,18.0,True,True,True,True,True,True,True,True,False,False,False,False,False
-20,8.0,14.0,6.0,True,True,True,True,True,False,False,False,False,False,False,False,False,5.0,13.0,8.0,True,True,True,True,True,True,False,False,False,False,False,False,False
-20_ZMouth Open Horizontal And Vertical,8.0,35.0,27.0,True,True,True,True,True,True,True,True,True,True,False,False,False,8.0,36.0,28.0,True,True,True,True,True,True,True,True,True,True,False,False,False
-30,7.0,59.0,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,6.0,59.0,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True
-40,10.0,74.0,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,12.0,71.0,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True
-50,8.0,18.0,10.0,True,True,True,True,True,True,True,False,False,False,False,False,False,5.0,16.0,11.0,True,True,True,True,True,True,True,False,False,False,False,False,False
-60,5.0,24.0,19.0,True,True,True,True,True,True,True,True,False,False,False,False,False,5.0,24.0,19.0,True,True,True,True,True,True,True,True,False,False,False,False,False
0,9.0,30.0,21.0,True,True,True,True,True,True,True,True,True,False,False,False,False,5.0,31.0,26.0,True,True,True,True,True,True,True,True,True,True,False,False,False
Angry,7.0,30.0,23.0,True,True,True,True,True,True,True,True,True,False,False,False,False,10.0,45.0,35.0,True,True,True,True,True,True,True,True,True,True,True,False,False
Anguish,7.0,12.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False,False,7.0,28.0,21.0,True,True,True,True,True,True,True,True,True,False,False,False,False
Animosity Growl,6.0,63.0,57.0,True,True,True,True,True,True,True,True,True,True,True,True,True,4.0,64.0,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True
Animosity Rebellious,7.0,29.0,22.0,True,True,True,True,True,True,True,True,True,False,False,False,False,6.0,29.0,23.0,True,True,True,True,True,True,True,True,True,False,False,False,False
Bored,7.0,13.0,6.0,True,True,True,True,True,False,False,False,False,False,False,False,False,6.0,29.0,23.0,True,True,True,True,True,True,True,True,True,False,False,False,False
