folder,expression,direction,A_boundary,B_boundary,lead_deg
Female_+10,+10,left,0.0,0.0,0.0
Female_+20,+20,left,0.0,0.0,0.0
Female_+20_ZMouth Open Horizontal And Vertical,+20_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Female_+30,+30,left,0.0,0.0,0.0
Female_+40,+40,left,0.0,0.0,0.0
Female_+50,+50,left,0.0,0.0,0.0
Female_+50_ZMouth Open Horizontal And Vertical,+50_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Female_-10,-10,left,0.0,0.0,0.0
Female_-10_ZMouth Open Horizontal And Vertical,-10_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Female_-20,-20,left,0.0,0.0,0.0
Female_-20_ZMouth Open Horizontal And Vertical,-20_ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Female_-30,-30,left,0.0,0.0,0.0
Female_-40,-40,left,0.0,0.0,0.0
Female_-50,-50,left,0.0,0.0,0.0
Female_-60,-60,left,0.0,31.0,31.0
Female_0,0,left,0.0,0.0,0.0
Female_Angry 01,Angry,left,0.0,0.0,0.0
Female_Angry 02,Angry,left,0.0,0.0,0.0
Female_Angry 03,Angry,left,0.0,0.0,0.0
Female_Angry 04,Angry,left,0.0,0.0,0.0
Female_Angry 05,Angry,left,0.0,0.0,0.0
Female_Anguish,Anguish,left,0.0,0.0,0.0
Female_Animosity Growl,Animosity Growl,left,0.0,0.0,0.0
Female_Animosity Rebellious,Animosity Rebellious,left,0.0,0.0,0.0
Female_Bored 01,Bored,left,0.0,0.0,0.0
Female_Bored 02,Bored,left,0.0,0.0,0.0
Female_Bored 03,Bored,left,0.0,0.0,0.0
Female_Bored 04,Bored,left,0.0,0.0,0.0
Female_Bored 05,Bored,left,0.0,0.0,0.0
Female_BreathTaking Over The Moon,BreathTaking Over The Moon,left,0.0,0.0,0.0
Female_Chewing,Chewing,left,0.0,0.0,0.0
Female_Choking,Choking,left,0.0,0.0,0.0
Female_Coughing,Coughing,left,0.0,0.0,0.0
Female_Crazed,Crazed,left,0.0,0.0,0.0
Female_Crying,Crying,left,0.0,0.0,0.0
Female_Cute 01,Cute,left,0.0,0.0,0.0
Female_Cute 02,Cute,left,0.0,0.0,0.0
Female_Cute 03,Cute,left,0.0,0.0,0.0
Female_Cute 04,Cute,left,0.0,0.0,0.0
Female_Cute 05,Cute,left,0.0,0.0,0.0
Female_Despise 01,Despise,left,0.0,0.0,0.0
Female_Despise 02,Despise,left,0.0,0.0,0.0
Female_Despise 03,Despise,left,0.0,0.0,0.0
Female_Despise 04,Despise,left,0.0,0.0,0.0
Female_Despise 05,Despise,left,0.0,0.0,0.0
Female_Determined,Determined,left,0.0,0.0,0.0
Female_Distrust 01,Distrust,left,0.0,0.0,0.0
Female_Distrust 02,Distrust,left,0.0,0.0,0.0
Female_Distrust 03,Distrust,left,0.0,0.0,0.0
Female_Distrust 04,Distrust,left,0.0,0.0,0.0
Female_Distrust 05,Distrust,left,0.0,0.0,0.0
Female_Empathy 01,Empathy,left,0.0,0.0,0.0
Female_Empathy 02,Empathy,left,0.0,0.0,0.0
Female_Empathy 03,Empathy,left,0.0,0.0,0.0
Female_Empathy 04,Empathy,left,0.0,0.0,0.0
Female_Empathy 05,Empathy,left,0.0,0.0,0.0
Female_Expressions Anger 01,Expressions Anger,left,0.0,0.0,0.0
Female_Expressions Anger 02,Expressions Anger,left,0.0,0.0,0.0
Female_Expressions Anger 03,Expressions Anger,left,0.0,0.0,0.0
Female_Expressions Anger 04,Expressions Anger,left,0.0,0.0,0.0
