side,horizon,observed,p_value,n,permutations
left,1,0.9530516431924883,0.0004997501249375312,426,2000
left,2,0.9107981220657277,0.0004997501249375312,426,2000
left,3,0.8497652582159625,0.0004997501249375312,426,2000
left,5,0.7629107981220657,0.0004997501249375312,426,2000
left,7,0.6854460093896714,0.0004997501249375312,426,2000
left,10,0.5446009389671361,0.0004997501249375312,426,2000
left,15,0.3286384976525822,0.0004997501249375312,426,2000
left,20,0.22535211267605634,0.0004997501249375312,426,2000
left,25,0.17136150234741784,0.0004997501249375312,426,2000
left,30,0.1267605633802817,0.0004997501249375312,426,2000
left,40,0.0892018779342723,0.0004997501249375312,426,2000
left,50,0.07511737089201878,0.0004997501249375312,426,2000
right,1,0.8967136150234741,0.0004997501249375312,426,2000
right,2,0.8474178403755869,0.0004997501249375312,426,2000
right,3,0.7769953051643192,0.0004997501249375312,426,2000
right,5,0.6995305164319249,0.0004997501249375312,426,2000
right,7,0.6220657276995305,0.0004997501249375312,426,2000
right,10,0.5164319248826291,0.0004997501249375312,426,2000
right,15,0.3544600938967136,0.0004997501249375312,426,2000
right,20,0.25586854460093894,0.0004997501249375312,426,2000
right,25,0.1784037558685446,0.0004997501249375312,426,2000
right,30,0.14553990610328638,0.0004997501249375312,426,2000
right,40,0.11032863849765258,0.0004997501249375312,426,2000
right,50,0.07746478873239436,0.0004997501249375312,426,2000
