side,horizon,n,n_warning,warning_rate,median_lead
left,1,426,406,0.9530516431924883,10.5
left,2,426,388,0.9107981220657277,10.5
left,3,426,362,0.8497652582159625,10.5
left,5,426,325,0.7629107981220657,10.5
left,7,426,292,0.6854460093896714,10.5
left,10,426,232,0.5446009389671361,10.5
left,15,426,140,0.3286384976525822,10.5
left,20,426,96,0.22535211267605634,10.5
left,25,426,73,0.17136150234741784,10.5
left,30,426,54,0.1267605633802817,10.5
left,40,426,38,0.0892018779342723,10.5
left,50,426,32,0.07511737089201878,10.5
right,1,426,382,0.8967136150234741,10.0
right,2,426,361,0.8474178403755869,10.0
right,3,426,331,0.7769953051643192,10.0
right,5,426,298,0.6995305164319249,10.0
right,7,426,265,0.6220657276995305,10.0
right,10,426,220,0.5164319248826291,10.0
right,15,426,151,0.3544600938967136,10.0
right,20,426,109,0.25586854460093894,10.0
right,25,426,76,0.1784037558685446,10.0
right,30,426,62,0.14553990610328638,10.0
right,40,426,47,0.11032863849765258,10.0
right,50,426,33,0.07746478873239436,10.0
